stage,epidermis,eye,fin.mesenchyme,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,3,0,0,2,2,0
 24-34,0,0.82,0,0,0.82,0,5.75,0,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0,0,1.15,2.87,0,0.57,0,0,0
 60-70,0,1.96,0,0,0.98,0,5.89,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,2.12,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,2.19,0,0,0,0,0
108-118,0.77,0,0,0,0,0,1.53,0,0,0,0,0.77
