stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,1,0,0,0,0,0,7,0,0,2,0,0,6,1,9,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0,17.24,0,9.85,0,0,0,2.46,0.82,11.49,0,0.82,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,20.95,0,3.22,0,0,0.81,0,0,6.45,0,0,0
 48-58,0,0,0,4.02,0,5.74,0.57,0,0.57,0.57,0,12.62,0,1.72,0,0,0,0,0,8.03,0,0,0
 60-70,0,0,0,0,0,6.87,0.98,0,0,0.98,0,4.91,0.98,0.98,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,2.94,0,0,7.85,0,0.98,0,2.94,0,9.82,0,1.96,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,2.12,1.06,0,3.19,0,1.06,0,0,1.06,2.12,0,0,2.12,0,0,1.06,0,4.25,1.06,0,0
 96-106,0,1.09,1.09,0,1.09,4.37,0,1.09,0,2.19,0,3.28,0,1.09,0,0,0,0,0,5.46,0,0,0
108-118,0,0,0.77,0.77,0,0.77,0,1.53,0,0,0,3.83,0,0,0,0,0,0.77,0,0.77,0,0,0
120,0,1.96,0,1.96,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96
