stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,4,0,0,1,0,0,1,0,0,0,2,0,0,3,0,7,0,0,3,6,2,0,0,1,0,7,1,1,5,5,0,0,0,0,0
 24-34,0,0,0,0,13.95,0,0.82,0,3.28,0,0,1.64,0,0.82,0,1.64,0,1.64,0,0.82,4.93,0,0,0.82,4.1,1.64,0.82,0,0,0,44.33,0,0,0.82,1.64,0,0,2.46,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,0,0.81,0,0.81,0.81,0.81,1.61,0,0,0,0,9.67,0,0,4.03,7.25,4.03,2.42,0,0,0,30.62,0,0,0,0.81,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.72,0,2.87,0,0.57,1.72,2.3,0.57,2.3,0.57,0,0,0,1.72,0,1.15,11.48,0.57,0,2.87,6.89,0,1.15,0,0,0,17.21,0,0.57,0,1.15,0,0,3.44,0,1.15
 60-70,0,0,0,0,9.82,0,0.98,0,4.91,0,3.93,1.96,0.98,2.94,3.93,0.98,0,0,0.98,1.96,29.45,0.98,0.98,0,3.93,2.94,0.98,1.96,0,0.98,20.61,0,0.98,0,1.96,0,0,2.94,1.96,1.96
 72-82,0,0,2.94,0,4.91,0,5.89,0,3.93,1.96,8.83,9.82,2.94,0,5.89,1.96,0,0.98,0,0.98,42.21,3.93,2.94,4.91,14.72,0,1.96,4.91,0,0,15.71,0,0,0,0,0,1.96,12.76,0.98,1.96
 84-94,0,0,1.06,0,29.74,2.12,5.31,0,4.25,2.12,3.19,13.81,2.12,1.06,4.25,4.25,1.06,2.12,0,3.19,29.74,1.06,4.25,2.12,6.37,0,1.06,0,0,0,46.73,0,0,0,3.19,2.12,0,8.5,0,5.31
 96-106,0,0,2.19,0,29.51,0,3.28,0,10.93,2.19,5.46,29.51,1.09,2.19,8.74,4.37,3.28,4.37,0,1.09,38.25,3.28,5.46,2.19,10.93,0,2.19,0,0,1.09,32.79,0,2.19,0,1.09,2.19,1.09,10.93,5.46,2.19
108-118,0,0,1.53,0,29.11,0,4.6,0.77,4.6,1.53,9.96,28.34,0,0,5.36,3.83,4.6,3.06,1.53,1.53,45.96,2.3,3.06,3.83,15.32,0,0,2.3,0,0,25.28,0,3.06,0,0.77,1.53,0.77,14.55,2.3,6.13
120,0,0,0,1.96,29.4,1.96,7.84,0,3.92,0,5.88,15.68,0,0,11.76,7.84,1.96,1.96,0,3.92,33.32,1.96,1.96,1.96,13.72,1.96,0,1.96,0,0,7.84,0,0,0,1.96,0,1.96,3.92,0,1.96
