stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4,5,5,1,0,1,0,0,0,0,1,1,22,0,0,0,0,0,16,0,0,7,9,3,1,0,0,0,0,0,2,2,140,79,3,0,0,0,0,0
 24-34,4.93,8.21,1.64,0.82,0,3.28,17.24,0,0,0.82,9.85,0,22.16,0,0,0,3.28,0.82,5.75,0,0,14.78,39.4,1.64,0,0,0,0,0.82,0,0,4.93,70.59,124.77,3.28,0,0,2.46,0,0
 36-46,0.81,0.81,0,0,0,7.25,30.62,0,0,0.81,1.61,0,13.7,0,0,0,0.81,0,8.06,0,2.42,8.86,36.26,0,0,0,0,0,0,0,0,2.42,31.42,3.22,6.45,0,0,0,0,1.61
 48-58,1.72,0,0.57,0,0,12.05,26.97,0,0,2.3,0,0,9.75,0.57,0,0,0,0,13.2,0,0,10.33,27.54,0,0,0,0,1.15,1.72,0,0,0.57,19.51,0,2.3,0,1.15,1.15,0.57,1.72
 60-70,0.98,0,0,0,0,16.69,25.52,0,0,6.87,0.98,0,7.85,0,0.98,0,3.93,0,12.76,0,4.91,13.74,28.46,0,0,0.98,0,1.96,1.96,0,0,0,12.76,0,1.96,0,3.93,0.98,4.91,0
 72-82,8.83,0,1.96,1.96,0,43.19,16.69,0.98,0.98,24.54,2.94,0,2.94,0.98,0,0,7.85,0,19.63,0.98,2.94,8.83,20.61,0,0,0.98,0.98,0,0,0,0,0,5.89,0,2.94,0,4.91,0,29.45,2.94
 84-94,8.5,0,0,1.06,2.12,87.09,28.68,0,0,12.74,4.25,0,4.25,0,0,0,20.18,0,10.62,0,4.25,8.5,23.36,0,0,0,0,1.06,4.25,1.06,0,1.06,11.68,0,1.06,0,6.37,0,28.68,0
 96-106,8.74,0,3.28,3.28,1.09,123.49,34.97,0,1.09,27.32,3.28,0,10.93,2.19,2.19,0,26.23,0,16.39,0,2.19,8.74,18.58,0,0,0,0,4.37,3.28,0,0,1.09,17.49,0,0,0,2.19,0,52.46,0
108-118,6.13,0,1.53,3.83,11.49,134.04,25.28,0.77,0,24.51,6.89,0,7.66,0.77,0.77,0.77,31.4,0,10.72,0,0.77,16.85,19.15,1.53,0,0.77,0,0,1.53,0,0,0.77,9.96,0,1.53,0.77,4.6,0,21.45,0
120,9.8,0,7.84,0,1.96,64.67,17.64,1.96,0,31.36,0,0,3.92,0,0,0,21.56,0,3.92,0,1.96,13.72,11.76,0,0,1.96,0,1.96,0,0,0,5.88,3.92,0,0,0,0,0,15.68,0
