stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,92,0,0,28,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,4,0,28,0,55,1,2,0,0,0,0,0
 24-34,0,0,45.15,0,0.82,98.5,0,0,1.64,0,0,0.82,2.46,0,0.82,0,0,1.64,0,0,2.46,9.03,1.64,1.64,0,39.4,0.82,4.93,0,0,0.82,0,0
 36-46,0,0.81,15.31,0,0.81,36.26,0,0,0.81,0,0.81,0,0.81,0,0,0,0.81,3.22,0.81,0,2.42,3.22,0,1.61,0,10.47,0,12.09,0,0,0,0,0
 48-58,0,0,6.31,0,1.15,31.56,1.72,1.15,0,0,0,0,0.57,0,0,0,0,8.61,0.57,0,1.15,4.02,0,0,0,1.72,0,9.75,0,0,0.57,0,0
 60-70,0.98,0,2.94,0,0,12.76,1.96,1.96,0,0,0,0,0,0,0,0.98,0,21.59,0,0,5.89,4.91,0,0,0,0,0,8.83,0.98,1.96,0,0,0
 72-82,1.96,0,1.96,0,2.94,1.96,2.94,1.96,4.91,0,0,0,0.98,0.98,1.96,0,0,69.7,0,1.96,7.85,2.94,0,0.98,3.93,0,0,2.94,0,0.98,0.98,0,0
 84-94,2.12,0,13.81,0,3.19,3.19,3.19,1.06,10.62,0,1.06,1.06,11.68,0,0,0,0,64.78,2.12,0,6.37,4.25,0,1.06,2.12,0,1.06,3.19,0,2.12,2.12,0,0
 96-106,5.46,0,6.56,0,4.37,4.37,0,0,2.19,0,1.09,0,4.37,0,1.09,0,0,69.94,0,4.37,3.28,7.65,0,0,1.09,0,0,1.09,0,0,3.28,1.09,1.09
108-118,2.3,0,3.83,0,3.83,4.6,0.77,3.06,3.06,0,0,0,6.13,0,0.77,0,0,75.06,0,0.77,1.53,6.89,0,0,0.77,0,0,3.06,1.53,1.53,4.6,0,0
120,7.84,0,1.96,1.96,0,0,1.96,0,3.92,0,0,0,3.92,0,0,0,0,41.16,1.96,0,1.96,3.92,0,1.96,0,0,0,1.96,0,1.96,3.92,0,0
