stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,459.72,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,5.26,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,70.98,15.77,0,0,42.06,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,100.7,0,0,0,0,0,0,0,0,0,0,0,84.97,9.44,0,0,44.06,34.62,6.29,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,4,95,7,4,0,5,0,0,1,10,0,1,14,1,0,0,1,5,0,0,6,14,4,0,1,1,153,0,2,4,8,7,0,0,2,0,0
 24-34,0,0,0.82,84.55,0.82,3.28,0,17.24,3.28,0.82,0,1.64,0.82,1.64,37.76,0,1.64,0,0.82,6.57,4.1,0,3.28,30.37,0.82,1.64,0,0,268.42,0,0,4.1,1.64,4.1,0,0,3.28,0,0.82
 36-46,0,0,0,29.81,0.81,2.42,0,11.28,5.64,0.81,0,0,0.81,0,6.45,0.81,0.81,0,1.61,4.03,2.42,0,0.81,24.17,0,0.81,1.61,0,165.16,0,0,2.42,0,3.22,0,0,4.83,0,0
 48-58,0,0,0,20.66,0,4.59,0,14.35,4.59,4.59,0.57,1.72,0.57,1.15,5.16,0,0.57,0,1.15,13.77,2.87,0,1.72,24.1,1.15,1.72,1.15,0,113.04,0,0,2.3,0,2.3,0,0,1.72,0,1.15
 60-70,0,0,0,40.24,0,1.96,0,21.59,7.85,3.93,1.96,0,0,3.93,3.93,0,0,0,0,17.67,5.89,0,0,9.82,0.98,1.96,0,0,98.15,0,0,2.94,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,44.17,0,4.91,0,30.43,7.85,8.83,0.98,0,0,3.93,12.76,0.98,0,0,0,32.39,6.87,0,0.98,14.72,0,0.98,1.96,0,116.82,0,0,1.96,0,0,1.96,0,1.96,0,0.98
 84-94,0,0,0,80.71,0,0,0,27.61,0,3.19,7.43,2.12,0,6.37,21.24,1.06,1.06,0,0,19.12,9.56,0,1.06,7.43,0,0,3.19,0,248.52,0,0,7.43,0,0,1.06,3.19,4.25,0,1.06
 96-106,0,0,0,85.24,0,8.74,1.09,44.81,2.19,5.46,9.84,1.09,1.09,3.28,24.04,0,2.19,0,0,15.3,12.02,0,2.19,22.95,0,1.09,1.09,0,245.89,0,0,3.28,0,0,2.19,0,4.37,1.09,0
108-118,0,0,0.77,108,1.53,1.53,1.53,55.92,3.83,3.06,11.49,0,0.77,6.89,18.38,3.83,0.77,0.77,0,19.92,4.6,2.3,1.53,15.32,0.77,2.3,1.53,0,186.13,0,0,7.66,0,0.77,2.3,0.77,2.3,0.77,0
120,0,0,0,80.35,0,1.96,0,50.95,1.96,3.92,15.68,0,0,9.8,19.6,0,0,0,0,11.76,3.92,3.92,3.92,13.72,0,7.84,1.96,0,182.26,0,0,3.92,0,0,1.96,1.96,1.96,0,0
