stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,9,2,4,0,20,1,0,2,0,0,0,9,0,0,4,57,2,0,0,3,1,1,1,5,2,51,0,0,0,0,0
 24-34,0,0,4.93,0,6.57,0,14.78,0.82,0,10.67,0,0.82,0,11.49,0,0,3.28,62.39,0.82,0,0,0,0.82,0,0,2.46,2.46,24.63,0,0,4.1,0,0
 36-46,0,0,0,0,5.64,0,9.67,0.81,0,2.42,0,0,0,11.28,0,1.61,2.42,37.06,0,1.61,0,0,0,0,0,1.61,0,24.98,0,0,0.81,0,0.81
 48-58,0,0,1.72,0,3.44,0,5.74,0,0.57,0,0,0,0.57,9.18,0,0,2.3,16.07,0,0.57,0,0,1.15,0,0,0,0,14.35,0,0,0.57,0,0
 60-70,0,0,2.94,0,8.83,1.96,8.83,0,0,0.98,0,0,0,27.48,0.98,1.96,0.98,30.43,0,2.94,1.96,0,0.98,0,0,0,0,6.87,0.98,1.96,0,0,0
 72-82,0,0.98,1.96,0,10.8,0,10.8,0,1.96,2.94,0,0.98,0,12.76,0,0,3.93,15.71,0,3.93,2.94,0,1.96,0,0,0,0,2.94,0,0.98,0,0,0
 84-94,1.06,0,2.12,0,10.62,1.06,7.43,0,0,1.06,1.06,1.06,0,13.81,0,1.06,1.06,18.05,0,2.12,2.12,0,1.06,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,2.19,0,6.56,0,8.74,1.09,2.19,3.28,1.09,0,0,14.21,0,1.09,0,4.37,0,3.28,1.09,0,2.19,0,0,0,0,2.19,0,0,2.19,0,0
108-118,0,0,0.77,0.77,3.83,0,7.66,0,0.77,2.3,0,0.77,0,26.81,0,2.3,1.53,11.49,0,3.06,1.53,0,0,0,0,1.53,0,2.3,0,0,1.53,1.53,0.77
120,0,0,0,3.92,7.84,0,9.8,0,0,0,0,0,0,11.76,0,1.96,1.96,13.72,0,1.96,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0
