stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,1
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,1.64,4.93,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,2.42,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.87,0.57,0.57,0,0,0,0,0,2.87,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,0,0,0.98,0,2.94,0.98,0.98,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,6.37,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,2.19,1.09,1.09,1.09,2.19,0,0,13.11,2.19,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0.77,0,1.53,0,0,0.77,22.21,2.3,3.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,31.36,3.92,3.92,0,0,0,0,0,0
