stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,1396.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1097.2,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,52.57,0,52.57,0,0,123.55,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,841.19,26.29,0,0,444.25,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,31.47,0,6.29,160.5,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,1035.35,28.32,0,0,431.13,0,9.44,6.29,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,9,70,20,64,0,0,13,5,7,0,0,6,0,0,0,0,39,0,0,25,625,16,3,7,21,0,17,68,1,1,46,182,0,0,5,0,0
 24-34,0,0,0,4.1,25.45,2.46,152.68,0.82,0.82,16.42,1.64,0,1.64,0,8.21,0,2.46,0.82,0,91.12,0.82,1.64,32.01,710.86,2.46,5.75,13.13,0,0,17.24,0,0.82,0.82,7.39,127.23,0,0,5.75,0,1.64
 36-46,0,0,0.81,0.81,4.83,0,180.47,0.81,1.61,18.53,0.81,0,0,0.81,0.81,0.81,2.42,2.42,0.81,57.2,0,4.03,20.14,312.6,0.81,5.64,4.83,0,0,5.64,0,1.61,0,0,66.06,0,0,6.45,0,0
 48-58,0,0,0,0,9.18,2.3,181.32,2.87,2.87,16.64,0.57,0,2.3,4.02,2.3,1.15,1.72,1.15,0,65.99,0,2.87,21.23,144.03,0.57,2.87,3.44,0,0,3.44,0,0,0.57,0,20.66,0,0.57,5.16,0,0
 60-70,0,0,0,0,8.83,2.94,127.6,1.96,1.96,25.52,4.91,0,0,0,0.98,0,0.98,2.94,0,61.84,0,0.98,9.82,58.89,0.98,0.98,0.98,0,1.96,2.94,0,1.96,0,0,7.85,0,0,2.94,0.98,0.98
 72-82,0,0,0,0,5.89,3.93,39.27,0,4.91,19.63,3.93,0,0.98,3.93,0.98,2.94,0.98,1.96,0,61.84,0.98,4.91,11.78,70.68,0,1.96,0.98,0,1.96,7.85,0,0,0,0,2.94,0,0,8.83,0,0
 84-94,0,0,1.06,0,9.56,3.19,53.1,1.06,0,19.12,7.43,0,0,3.19,3.19,0,0,2.12,0,62.66,0,9.56,18.05,55.23,1.06,1.06,3.19,0,0,8.5,0,0,0,0,1.06,1.06,0,8.5,1.06,0
 96-106,0,0,0,0,20.76,7.65,37.16,0,3.28,22.95,7.65,0,2.19,6.56,4.37,0,2.19,8.74,0,56.83,0,5.46,9.84,42.62,2.19,1.09,4.37,0,0,17.49,0,2.19,0,0,0,3.28,0,8.74,1.09,2.19
108-118,0,0,0,0.77,16.09,6.13,36.77,1.53,6.13,30.64,3.83,0,0,6.89,2.3,0,1.53,6.89,0,49.79,0,1.53,12.26,82.72,0.77,4.6,3.83,0,0.77,6.89,0,2.3,0,0,0.77,1.53,0,7.66,0.77,0
120,0,0,0,0,23.52,7.84,37.24,1.96,1.96,15.68,3.92,0,1.96,11.76,0,3.92,0,9.8,0,50.95,0,0,11.76,56.83,0,1.96,3.92,0,0,19.6,0,3.92,0,0,0,0,0,7.84,0,0
