stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,2.46,0,0.82,1.64,0,0.82,2.46,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,1.61,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0.81,4.03,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,1.72,0,1.72,1.15,0.57,0,0,0,0,0,0,1.15,0,0,2.87,0,0,1.15,0,0,0,0,1.15,0,0,0,0
 60-70,0.98,0,1.96,0.98,0,0,0,0,0.98,0.98,0,3.93,0,0.98,5.89,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0.98,0,11.78,0,0,0,0,0,3.93,0,0.98,5.89,0,0.98,1.96,0,0,0,0,1.96,0,0,0,0
 84-94,4.25,0,2.12,0,0,43.54,1.06,0,0,0,0,3.19,0,0,3.19,0,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,2.19,1.09,1.09,2.19,0,116.93,0,1.09,0,2.19,0,2.19,0,0,5.46,0,0,1.09,0,0,0,0,0,1.09,1.09,2.19,0
108-118,0.77,0,1.53,1.53,1.53,191.49,0,0,1.53,0,0.77,3.06,0,0,3.06,0,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,0,174.42,0,0,0,0,0,0,1.96,0,5.88,0,0,0,1.96,0,3.92,0,1.96,0,0,0,0
