stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0.82,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,2.46,6.57,0,0.82,0,12.31,0,0.82,1.64,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,11.28,0,0,0,11.28,0,0,1.61,0,0,0
 48-58,0,0,0,1.15,0,0,2.87,0,0.57,0,1.15,0,0,0,0,0,0,0,0,1.15,0,0,13.2,0,0,0,6.31,0,0,4.02,0,0,0
 60-70,0,0,0,0.98,0,0,2.94,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0,4.91,0,0,29.45,0.98,0,0,25.52,0,0,2.94,0,0.98,0
 72-82,0,0,0,2.94,0,0,7.85,2.94,0,0,1.96,1.96,0,0,0,0,0,0,0.98,5.89,0,0,36.32,0,0,0,28.47,0,0,1.96,0,0.98,2.94
 84-94,0,0,0,6.37,1.06,0,6.37,0,0,0,0,0,0,0,0,1.06,0,0,0,5.31,1.06,0,18.05,0,0,0,32.92,0,0,3.19,1.06,2.12,0
 96-106,0,0,0,1.09,0,0,3.28,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0,0,21.86,0,1.09,0,19.67,0,0,0,0,0,0
108-118,0,0.77,0.77,3.83,0,0,2.3,0,1.53,0,0.77,1.53,0,0,0,0.77,0.77,0.77,0,1.53,0,0.77,13.02,0,0.77,0,21.45,0,0,0,0.77,0,0
120,0,0,0,13.72,1.96,1.96,3.92,0,0,0,0,1.96,0,0,3.92,0,0,0,0,5.88,1.96,0,29.4,1.96,0,0,41.16,0,0,0,0,1.96,1.96
