stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0.81,0.81,0,0,0
 48-58,0,0,0,1.15,0,0,0,1.15,0,0.57,21.8,0,0,0,0,0,0.57,0,1.15,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,2.94,0,0,17.67,0,0.98,0,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,4.91,0,0.98,0,3.93,2.94,0.98,23.56,0,0,0,0,0,0,0,4.91,0,0,0
 84-94,0,0,1.06,5.31,0,1.06,0,2.12,1.06,0,14.87,0,0,0,0,0,1.06,0,0,0,0,4.25
 96-106,0,0,0,3.28,1.09,0,1.09,1.09,0,1.09,14.21,1.09,0,1.09,0,1.09,1.09,0,0,2.19,1.09,2.19
108-118,0,0,0,3.83,0,0,0,0.77,0.77,0,16.09,0,0,0,0,0.77,0,0,0.77,0.77,0,0.77
120,0,0,3.92,3.92,1.96,0,0,1.96,1.96,0,17.64,0,0,0,0,0,0,0,0,0,0,1.96
