stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,muscle,neural,pronephros,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,12.59,6.29,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0.57,0,1.15,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0.98,0,0.98,0,0.98
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0.77,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,0,9.8,0,1.96,0,0,0,0
