stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord,taste,vasculature
 14-21,0,3,1,1,0,0,0,0,0,3,0,1,15,2,0,0,4,6,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0,0.82,0,0,10.67,0,0,0,0.82,4.1,0,0
 36-46,0,0.81,1.61,0,0,0,0,0,0,1.61,0,0,4.03,0,0,3.22,0,0.81,0,0.81
 48-58,0,0,4.02,0,0,0,0,0,0,1.15,0,0.57,2.3,0,0,0,0,0,0,0
 60-70,0,0.98,3.93,0,0,0,0,0.98,0,0,0,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,1.96,3.93,0.98,1.96,0,0,0,0,0.98,0,0,1.96,0,0,12.76,0,0,0,0
 84-94,0,0,3.19,2.12,7.43,0,0,0,0,0,0,0,2.12,0,0,39.3,0,0,0,0
 96-106,2.19,0,0,0,8.74,1.09,1.09,0,0,3.28,1.09,0,0,0,1.09,44.81,0,0,0,0
108-118,1.53,0,2.3,0.77,35.23,0.77,0,0.77,0,0.77,0,0,0.77,0,0,32.94,0,0,0.77,0
120,0,1.96,1.96,1.96,52.91,0,0,0,1.96,1.96,0,0,7.84,0,0,35.28,0,0,0,0
