stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,870.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,26.29,10.51,0,0,52.57,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,488.94,2.63,0,0,173.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,28.32,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.22,6.29,0,0,157.35,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,9,47,18,53,0,0,0,12,2,0,0,0,7,0,1,0,0,37,0,0,35,613,10,1,11,12,0,4,28,5,1,27,179,0,0,10,0,0
 24-34,0,0,1.64,17.24,2.46,132.98,0,1.64,1.64,15.6,0.82,0,3.28,0.82,5.75,0,1.64,0.82,0,69.77,0,0.82,35.3,667.36,3.28,9.03,6.57,0,0,24.63,0,0,0,7.39,134.62,0,0,15.6,0,1.64
 36-46,0,0,0,12.09,1.61,235.26,0,1.61,2.42,12.89,1.61,0,0.81,0.81,0.81,0.81,0.81,0,0,71.7,0.81,3.22,21.75,456.01,0.81,4.03,4.83,0,0,11.28,0,0.81,0,0,82.98,0,0,1.61,0,0
 48-58,0,0,0,10.9,0.57,221.49,0.57,0.57,2.3,25.25,1.15,0,1.15,1.15,0.57,1.15,0,1.15,0.57,83.2,1.15,1.72,21.23,176.73,2.3,0.57,1.72,0,0,8.61,0,0,0,0,35,0,0,8.03,0,1.15
 60-70,0,0,0,17.67,0.98,182.56,0,0.98,2.94,48.09,1.96,0,0,0.98,0.98,0.98,0,0,0,60.85,0,6.87,14.72,145.27,0.98,0.98,1.96,0,2.94,5.89,0,0.98,0,0,18.65,0,0,1.96,0,1.96
 72-82,0,0,0,9.82,3.93,65.77,0,0,2.94,21.6,2.94,0,0.98,4.91,0.98,0,0,0,0.98,78.53,0,2.94,16.69,96.2,1.96,0,3.93,0,0,10.8,0,1.96,0,0,3.93,0.98,0,7.85,2.94,0.98
 84-94,0,0,0,18.05,3.19,56.29,0,3.19,4.25,31.86,1.06,0,1.06,6.37,2.12,2.12,0,0,0,55.23,1.06,4.25,13.81,65.85,3.19,2.12,3.19,0,0,24.43,0,1.06,0,0,3.19,1.06,0,11.68,1.06,0
 96-106,0,0,0,18.58,7.65,41.53,0,0,1.09,21.86,1.09,0,2.19,12.02,4.37,2.19,0,0,0,52.46,0,1.09,9.84,55.74,0,4.37,3.28,0,0,27.32,0,1.09,0,0,4.37,0,1.09,6.56,1.09,0
108-118,0,0,0,23.74,2.3,37.53,0,2.3,2.3,22.98,3.06,0,0.77,11.49,0.77,2.3,0.77,0,0,39.83,0.77,0,6.89,83.49,0.77,2.3,1.53,0,0.77,29.11,0,1.53,0,0,0,2.3,0,10.72,0,0.77
120,0,0,0,27.44,5.88,23.52,0,3.92,0,35.28,0,0,0,13.72,0,3.92,0,0,0,48.99,0,1.96,11.76,56.83,3.92,0,1.96,0,1.96,15.68,0,3.92,0,0,0,0,0,7.84,0,0
