stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,39.53,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,1,0,0,0,0,0,0,3,0,0,1,0,0,1,2,0,3,4,0,0,1,0,0,2,3,2,1,8,1,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0.82,0,0,0,0.82,0.82,1.64,2.46,0,0,0,0,0,4.1,13.95,0.82,0,0.82,0,0,5.75,0,0.82,0.82,1.64,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,0,3.22,0.81,0,0.81,0.81,0,1.61,1.61,0,0,0,0,0,1.61,24.17,0,0.81,0,0,0,6.45,0,0,1.61,0,5.64,0,0
 48-58,0,0,0,0,1.15,0,0,2.87,1.15,0,0.57,0.57,1.15,0,0,0.57,0,0.57,0.57,1.72,0,1.72,32.13,0,2.87,0,0,0,6.31,0,0,1.72,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,10.8,1.96,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0,76.56,0,0.98,1.96,0,0,3.93,0,0,1.96,0,6.87,0,0
 72-82,0,0,0,0,1.96,0,0,16.69,0,0,0.98,3.93,0,0,0,2.94,0,0.98,0.98,0.98,0,0,74.61,0,1.96,2.94,0,0,7.85,0,0,0,0,7.85,0.98,0.98
 84-94,0,0,0,0,3.19,0,0,16.99,0,0,0,2.12,2.12,0,0,1.06,0,0,0,4.25,1.06,1.06,36.11,0,2.12,0,0,0,26.55,0,1.06,1.06,0,3.19,1.06,0
 96-106,0,0,0,0,10.93,0,0,16.39,1.09,0,0,6.56,0,0,0,12.02,0,1.09,1.09,2.19,1.09,0,43.71,0,1.09,1.09,0,1.09,29.51,0,0,2.19,0,1.09,0,0
108-118,0,0,0,0,12.26,0,3.06,14.55,1.53,2.3,0,5.36,3.83,0,1.53,11.49,0.77,0,1.53,6.89,0.77,3.06,45.96,0,0.77,0.77,0,0,45.96,0,0.77,0,0,0,0.77,0
120,0,0,1.96,0,15.68,0,0,7.84,1.96,0,0,3.92,0,0,3.92,11.76,0,1.96,0,7.84,0,0,48.99,0,3.92,0,0,0,21.56,0,0,1.96,0,3.92,0,0
