stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,6,3,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,38,0,0,2,0,0,0,1,26,0,0,0,0,0
 24-34,0,6.57,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,64.85,2.46,0,0,1.64,0,0,0,55.82,0,0,0,0,2.46
 36-46,0,2.42,0,0.81,0,0,2.42,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,65.26,1.61,0,0,0,0,0,0,28.2,0,0,0,0,0.81
 48-58,0,1.72,0,1.72,0,0,7.46,0,0.57,1.15,0,0,0,0.57,0,0.57,1.15,2.3,0,0.57,60.25,0.57,0.57,0,0,0,0,0,19.51,0,0,0,0,1.15
 60-70,0,4.91,0,1.96,0,0,4.91,0,0,0.98,5.89,0,0,2.94,0,0,0.98,1.96,0,0,108.95,1.96,0,0,0,0,0,0,6.87,0,0,0,0,0.98
 72-82,0,18.65,0,0.98,0,1.96,19.63,0,0,4.91,8.83,0,0.98,0,0,0,1.96,4.91,1.96,0,132.52,1.96,0.98,0,0,0,0.98,0,7.85,0,0,0,3.93,0
 84-94,0,12.74,0,2.12,1.06,0,10.62,0,0,6.37,7.43,0,0,1.06,0,0,5.31,3.19,0,1.06,63.72,2.12,0,0,1.06,0,0,0,1.06,0,1.06,0,7.43,0
 96-106,0,13.11,0,2.19,0,2.19,10.93,0,0,3.28,10.93,0,0,0,0,0,9.84,1.09,1.09,0,63.39,0,1.09,0,1.09,1.09,0,0,1.09,1.09,0,1.09,5.46,1.09
108-118,0,7.66,0,0,0,7.66,6.89,2.3,0,9.19,3.83,0,0,0.77,0,0,16.85,3.06,0,1.53,88.09,1.53,0.77,0,0,0.77,0.77,0,2.3,0.77,0,1.53,5.36,0
120,0,7.84,0,3.92,0,1.96,1.96,3.92,0,7.84,13.72,0,0,0,1.96,0,3.92,0,1.96,0,109.75,3.92,0,0,0,1.96,0,0,5.88,0,0,0,7.84,0
