stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,2,1,1,2,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,12.31,0,30.37,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,7.25,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,41.09,0,23.36,0.81,0,0,0.81,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,0,13.2,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0.57,0,0.57,36.15,0,18.36,1.15,0,0,0,0,0.57,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,144.28,0,0,0,1.96,0.98,0,0,0,0,0,0,1.96,0,2.94,89.32,0,15.7,3.93,0,0,0,0,0.98,0,0,16.69,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,327.88,0.98,0,0.98,8.83,0,0,0,0.98,0,0.98,0,5.89,0,1.96,134.49,0,38.28,9.82,0,0,0,0,0,0,0,23.56,0,0,0,1.96
 84-94,0,0,0,0,1.06,1.06,0,209.22,0,0,0,4.25,0,0,1.06,0,0,1.06,0,2.12,0,2.12,61.6,0,71.16,6.37,0,1.06,0,0,0,0,0,11.68,0,2.12,1.06,0
 96-106,0,0,0,0,5.46,1.09,0,322.39,0,0,0,15.3,0,0,2.19,1.09,0,1.09,0,12.02,1.09,0,79.78,0,131.14,20.76,0,3.28,0,0,0,0,0,9.84,0,1.09,0,0
108-118,0.77,0,0,0,2.3,0,4.6,268.85,0,0.77,1.53,5.36,0,0,1.53,1.53,0.77,1.53,0.77,4.6,0,2.3,91.92,2.3,82.72,22.21,0,0.77,0,0,0,0,0,3.06,1.53,1.53,0,0
120,0,0,1.96,0,5.88,0,1.96,380.2,0,1.96,0,9.8,1.96,0,0,0,1.96,3.92,0,7.84,0,1.96,115.63,0,52.91,23.52,0,1.96,0,0,3.92,1.96,0,3.92,1.96,0,0,0
