stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,7.89,0,2.63,0,0,0,0,0,63.09,2.63,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,25.18,3.15,9.44,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,1,0,0,0,2,1,3,0,1,0,0,10,0,1,10,5
 24-34,0,0,0,0,1.64,0,0,0,3.28,2.46,3.28,0,0,0.82,0,0,0,0,2.46,1.64
 36-46,0,0,0,0,1.61,0,0.81,0,3.22,0.81,2.42,0,0,0,0,0,0,0,0,3.22
 48-58,0,0,0,0,0.57,0,0,0.57,6.31,0,2.3,0,0,0,0.57,0,0,0,0,1.72
 60-70,0,0,0,0.98,3.93,0,0.98,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0.98,0,2.94,0,5.89,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,2.12,0,2.12,0,3.19,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,3.28,0,3.28,0,5.46,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,3.06,1.53,0.77,0,3.06,0.77,4.6,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0
