stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,5.26,0,0,0,10.51,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,36.8,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,141.61,12.59,0,0,53.5,0,15.73,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,21,3,0,4,0,0,0,1,1,0,3,0,4,0,0,0,1,10,1,0,6,55,1,0,0,2,0,167,12,2,10,31,0,0,0,0,0
 24-34,0,0,0.82,0.82,6.57,0.82,0,27.91,0,0.82,1.64,5.75,0,0.82,0.82,0.82,14.78,0.82,0,0,0.82,22.16,26.27,0,11.49,190.44,0,0.82,2.46,0,0,685.41,0,2.46,7.39,39.4,0,0,10.67,0,0.82
 36-46,0,0,0,0,10.47,0,0,25.78,0,2.42,2.42,12.89,1.61,0,0,0,6.45,4.03,0,0,1.61,23.36,25.78,0,5.64,180.47,0,2.42,0.81,0,0,758.13,0,1.61,0,41.89,0,0,4.03,0,0
 48-58,0,0,0.57,0,6.31,0,0,34.43,0,6.31,1.15,18.94,0,0,0.57,0.57,5.74,6.31,0.57,0,2.87,36.72,20.08,1.15,5.74,118.2,0,0.57,3.44,0,0,533.64,0,0.57,0,31.56,0,0,1.15,0,2.3
 60-70,0,0,0.98,0,10.8,0.98,0,43.19,0.98,4.91,1.96,25.52,0.98,0,0.98,0.98,2.94,13.74,1.96,0,2.94,61.84,5.89,2.94,4.91,95.21,0.98,0.98,2.94,0,0,399.48,0,0,0,13.74,0,1.96,0.98,0,0.98
 72-82,0,0,0,0,22.58,0,0.98,36.32,0,12.76,5.89,27.49,12.76,0,1.96,2.94,7.85,4.91,1.96,0,0.98,69.7,22.58,1.96,3.93,91.29,0.98,5.89,8.83,0,0,501.63,0,0.98,0,11.78,1.96,1.96,11.78,3.93,1.96
 84-94,0,0,0,0,28.68,1.06,0,29.74,1.06,13.81,1.06,11.68,19.12,0,1.06,3.19,9.56,16.99,1.06,0,2.12,35.05,16.99,2.12,2.12,55.23,0,5.31,4.25,0,1.06,1166.12,0,1.06,0,2.12,4.25,1.06,5.31,2.12,0
 96-106,0,0,0,0,42.62,2.19,0,30.6,0,21.86,1.09,17.49,30.6,0,0,7.65,7.65,10.93,3.28,2.19,0,31.69,16.39,2.19,10.93,50.27,0,7.65,4.37,0,1.09,1013.07,0,3.28,0,2.19,3.28,1.09,3.28,3.28,0
108-118,0,0,0,0,51.32,2.3,0.77,19.15,1.53,35.23,1.53,22.98,35.23,0,0,4.6,19.92,12.26,3.06,2.3,0.77,20.68,21.45,0,4.6,53.62,0.77,4.6,4.6,0,0.77,917.62,0,1.53,0,2.3,6.89,1.53,1.53,0.77,0.77
120,0,0,1.96,0,54.87,1.96,0,23.52,1.96,31.36,0,5.88,21.56,0,0,7.84,13.72,3.92,0,0,0,9.8,17.64,0,5.88,45.08,0,1.96,0,0,0,576.18,0,1.96,0,1.96,1.96,1.96,0,1.96,0
