stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,10,1,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,0,52.53,0,0.82,0,0,13.13,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,133.74,0,1.61,0.81,0,22.56,0,0
 48-58,0,0,0,0,10.9,0,1.15,0,0,0,0.57,0,0,0,178.45,0,0.57,0,1.15,26.97,0,0
 60-70,0,0,0,0,37.3,0,0.98,0,0.98,0,1.96,0,0,0,312.12,0,0.98,0,0.98,18.65,0,0
 72-82,0,0,0.98,1.96,57.92,0,4.91,0.98,0,0,2.94,0,0,0.98,343.58,0.98,0,0,0,18.65,0,0
 84-94,0,0,0,0,32.92,0,5.31,0,0,1.06,11.68,0,0,1.06,162.49,0,1.06,0,1.06,9.56,0,0
 96-106,0,0,2.19,0,39.34,0,2.19,0,0,0,1.09,0,1.09,0,151.91,0,1.09,0,4.37,6.56,1.09,0
108-118,0,0.77,0.77,0.77,25.28,0.77,6.89,0,0,0,4.6,0,0,0,174.64,0,0.77,0,3.06,5.36,0.77,0.77
120,0,0,7.84,0,29.4,1.96,15.68,0,0,1.96,3.92,1.96,0,1.96,213.62,0,0,0,0,9.8,0,0
