stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,4,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,16,14,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,0,0
 24-34,0,0,3.28,6.57,1.64,0,12.31,0,0,0,0.82,0,0.82,0,0,0,33.66,0,0,18.06,21.34,0,0,0,0,0,4.1,0,0,0,0.82,0,4.93,0,0,9.03,0,0
 36-46,0,0,1.61,2.42,1.61,0,8.06,2.42,1.61,0,0.81,0,0,0,0,0,45.92,0,0.81,20.14,33.84,0,0.81,0,0,0,2.42,0,0,1.61,0.81,0,8.06,0,0,4.83,0,0.81
 48-58,0,0,4.02,1.15,6.31,0,5.74,10.33,2.87,0,0,0,0,0.57,0.57,0,44.18,0,0,17.21,28.69,0,0,0,0,0,0.57,0,0,0.57,0.57,0,5.16,0,0,4.02,0,2.3
 60-70,0,0,4.91,0,82.45,0.98,10.8,7.85,8.83,0,0,0,0,0,0,0,59.87,0,1.96,23.56,51.04,0,0,0,0,0,1.96,0,0,1.96,0,0,4.91,0,3.93,5.89,0,2.94
 72-82,0,0,8.83,3.93,165.9,0,2.94,23.56,24.54,0,1.96,0,3.93,2.94,0,0,86.39,0,3.93,27.49,49.08,0.98,0,0,0,0.98,0.98,0,0,0.98,0,0,3.93,0,4.91,10.8,2.94,1.96
 84-94,0,0,22.3,5.31,76.47,1.06,3.19,19.12,14.87,1.06,1.06,1.06,8.5,5.31,0,0,64.78,0,6.37,23.36,48.85,0,0,1.06,0,2.12,0,0,0,0,1.06,0,2.12,2.12,5.31,6.37,6.37,6.37
 96-106,0,0,24.04,8.74,108.19,0,4.37,15.3,24.04,2.19,0,2.19,4.37,2.19,0,1.09,60.11,0,0,16.39,43.71,0,1.09,2.19,0,1.09,1.09,0,0,2.19,0,0,0,2.19,7.65,5.46,6.56,0
108-118,0,0,21.45,3.83,62.81,0,7.66,10.72,15.32,2.3,0,0.77,3.83,4.6,0,0.77,44.43,0.77,0.77,15.32,36.77,0,0,0.77,0,0.77,1.53,0,0,0,0,0,2.3,2.3,3.83,2.3,3.83,4.6
120,0,0,33.32,7.84,54.87,0,17.64,1.96,11.76,3.92,0,7.84,1.96,3.92,1.96,0,43.12,0,0,5.88,23.52,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0,5.88,5.88,5.88,1.96
