stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0.82,0,0,0,0,0,0,0,0
 36-46,0.81,0,16.11,0,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,32.13,0,0,0,0,0,0,0,0,0,10.33,0,0,1.15,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,59.87,0,0,0,0.98,0,0,0,0,0,14.72,0,0,3.93,0,0,0,0.98,0,0,0,0.98,0.98
 72-82,0.98,1.96,79.51,0,0,0.98,0.98,0,0,0.98,0,0.98,19.63,0.98,0,17.67,0,0,0.98,0,0,2.94,0,0.98,0
 84-94,0,1.06,101.96,0,0,0,0,0,0,0,0,1.06,9.56,1.06,0,7.43,1.06,0,1.06,0,0,0,0,0,0
 96-106,3.28,0,97.26,1.09,0,0,0,1.09,0,0,1.09,0,17.49,1.09,1.09,10.93,0,1.09,5.46,0,0,1.09,0,0,0
108-118,0,0.77,94.21,0,0,0,0.77,0,0,0,3.06,0,8.43,0.77,2.3,10.72,0,0,3.83,0,0,0,0.77,0,0
120,0,0,86.23,0,1.96,0,1.96,0,0,0,0,0,17.64,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0
