stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,15,8,9,0,0,0,7,6,1,2,0,1,0,0,0,4,12,0,0,46,326,12,0,0,1,0,0,30,5,69,87,133,0,0,0,0,21
 24-34,0,0,4.1,2.46,15.6,0.82,61.56,0,0,1.64,14.78,7.39,0,7.39,0,9.03,2.46,0,15.6,4.1,77.16,0.82,0.82,183.05,646.83,72.24,7.39,2.46,0,0,1.64,0.82,4.1,45.15,55.82,190.44,0,0,0,0,79.62
 36-46,0.81,0,0.81,2.42,6.45,0,41.89,3.22,1.61,5.64,24.98,1.61,0,12.09,0.81,2.42,0,0,21.75,4.03,158.72,0,0.81,72.51,291.65,55.59,2.42,0,0,0,1.61,0,1.61,29,0,124.88,0,0,0.81,0,42.7
 48-58,1.15,0,0,0,1.72,0.57,26.4,1.72,2.87,2.87,43.61,1.72,0,0.57,0,0,0.57,0,26.97,4.02,103.28,0,0,31.56,154.35,24.1,1.72,0,0,0,4.02,0,0.57,23.53,0,49.35,0,0.57,0.57,0,38.44
 60-70,0,0,0,0,1.96,0,52.02,1.96,0.98,0,56.93,0,0,0,0,0.98,2.94,0,37.3,0.98,55.95,0,0.98,17.67,220.84,2.94,1.96,0,0,0.98,3.93,0,0.98,20.61,0,24.54,0,0.98,0,0,35.33
 72-82,0,0,0,0,0.98,0,60.86,0.98,0,2.94,112.89,0,0,0.98,0,0,5.89,0,83.44,0.98,53.01,0,3.93,13.74,338.67,0.98,1.96,2.94,0,5.89,1.96,0,0,9.82,0,22.58,0.98,1.96,0.98,2.94,54.97
 84-94,1.06,0,1.06,0,3.19,0,65.85,3.19,1.06,1.06,76.47,0,0,0,0,0,4.25,0,204.97,4.25,60.54,1.06,3.19,18.05,199.66,2.12,1.06,5.31,0,3.19,9.56,0,0,6.37,0,26.55,0,5.31,0,4.25,52.04
 96-106,0,0,1.09,0,4.37,3.28,55.74,2.19,1.09,0,118.03,4.37,0,1.09,2.19,0,4.37,1.09,275.4,3.28,32.79,0,2.19,6.56,196.71,0,2.19,2.19,1.09,8.74,4.37,0,0,6.56,0,24.04,1.09,3.28,1.09,0,71.04
108-118,0,0,0.77,0,6.13,0.77,49.79,1.53,0,0.77,91.92,0.77,0,0,0.77,0.77,3.06,1.53,225.19,6.89,26.81,0,3.06,13.79,251.24,1.53,0.77,3.83,0,8.43,2.3,0,0,3.83,0,19.15,1.53,1.53,0.77,2.3,82.72
120,0,0,1.96,0,1.96,5.88,54.87,0,0,0,74.47,3.92,0,0,0,0,0,0,109.75,1.96,23.52,0,0,11.76,227.34,3.92,1.96,3.92,0,7.84,0,0,0,1.96,0,17.64,0,0,1.96,0,37.24
