stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0
 14-21,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,10,7,0,0,1,4,391,671,8,0,0
 24-34,0,2.46,0,0,3.28,82.91,0,0.82,0,0.82,0,0.82,0,0.82,0,4.93,0.82,0,18.06,25.45,0.82,0,3.28,0.82,171.56,344.76,9.85,2.46,0
 36-46,0,0.81,0,0,4.83,74.12,0.81,0,0,0,0,0,0,0,0.81,5.64,0,0,20.95,25.78,0.81,0,0,0,95.07,14.5,6.45,0.81,0
 48-58,0,0,0,0,12.05,58.53,0,3.44,0,0,0,0,0,0,0,4.02,0,0.57,41.89,22.38,0,0,0.57,0,70,0,5.16,0,0
 60-70,0,0,0,0,6.87,61.84,0,0.98,0,0,0,0,0,0.98,0,4.91,0,0,38.28,11.78,0,0,0.98,0,51.04,0,1.96,0,0
 72-82,0,0.98,0,0,5.89,52.03,0,0,0,0,0,0,0.98,0,0,6.87,0.98,0,55.95,19.63,0,0,0,0,31.41,0,1.96,2.94,0
 84-94,0,2.12,1.06,0,5.31,78.59,0,0,0,0,1.06,0,0,0,0,6.37,0,0,45.67,10.62,0,0,3.19,0,55.23,0,0,0,0
 96-106,0,0,1.09,0,7.65,97.26,2.19,2.19,0,0,1.09,0,0,1.09,0,6.56,1.09,1.09,50.27,12.02,0,0,5.46,0,51.36,0,0,1.09,1.09
108-118,0,2.3,0.77,0,3.83,72.77,0.77,3.06,0,0,0,0,0,0.77,0,8.43,0,1.53,62.04,13.79,0.77,0,2.3,0,44.43,0,0,0,1.53
120,0,3.92,1.96,1.96,5.88,76.43,0,0,0,0,0,0,0,0,0,3.92,0,0,60.75,11.76,0,0,0,0,23.52,0,0,0,0
