stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,3,13,0,0,0,0,2,0,5,0,3,1,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,9.03,0,0,1.64,36.12,0,0.82,0.82,0,0,0.82,0,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,0,0,0,0,1.61,0,0,1.61,123.27,0.81,0.81,0,0,0,0,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,3.44,0,0,0.57,6.31,0,0,1.15,0,1.15,0,0,6.89,0.57,0,0.57,220.91,0.57,0,0,0,0,0.57,0,0,0,0,21.23,0,0,0,0
 60-70,0.98,0,0.98,0,0.98,0,0,35.33,0,0,0,25.52,0,0,3.93,0,0,0,0,14.72,0,0,0.98,544.74,0,0,0.98,0,0,1.96,0,0,0,0,46.13,0,0,0,1.96
 72-82,0,0,0,0,1.96,0,0,92.28,0.98,0,0.98,52.03,0.98,0,3.93,0,0,0,0,16.69,0,0,0,689.13,0,0,0,0,0,0,0,0,0,0,27.49,0,0.98,0,0
 84-94,0,0,0,0,4.25,0,0,79.65,0,0,0,29.74,0,0,6.37,0,0,0,0,14.87,1.06,0,0,317.55,0,0,2.12,0,1.06,0,0,0,0,0,16.99,0,1.06,1.06,0
 96-106,0,0,0,0,3.28,5.46,1.09,67.76,0,0,1.09,39.34,0,0,5.46,1.09,0,1.09,0,12.02,0,0,1.09,334.41,1.09,1.09,0,0,0,1.09,0,0,0,0,16.39,0,0,0,0
108-118,0,0,0,0,1.53,0,0,47.49,0,0.77,0.77,44.43,0,0,3.83,0,0,0,0.77,6.13,0,0.77,0,317.87,1.53,1.53,1.53,0,1.53,0.77,0,0,0.77,0,10.72,0,0.77,0.77,0
120,0,0,0,0,1.96,1.96,1.96,62.71,0,0,0,47.03,0,0,1.96,0,0,0,0,9.8,1.96,0,0,409.6,1.96,3.92,0,0,0,3.92,1.96,0,0,0,11.76,1.96,0,1.96,0
