stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,753.95,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,26.29,0,7.89,0,0,126.18,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,541.51,7.89,0,0,81.49,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,3.15,0,0,122.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.04,12.59,0,0,91.26,0,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,34,4,33,0,0,0,3,0,1,0,0,11,2,0,0,30,31,2,0,19,646,6,0,44,2,0,0,0,48,2,17,127,0,0,2,0,16
 24-34,0,0,0.82,1.64,13.13,0.82,41.04,0,0,0,5.75,0,0,2.46,0,13.95,7.39,0,0,75.52,110.82,0.82,0,49.25,1053.98,1.64,0.82,28.73,0,0,1.64,0,0,0,4.1,214.24,0,0,16.42,0,68.13
 36-46,0,0,0,0,4.03,0,24.17,0,0,8.06,32.23,0,0,0.81,0,4.83,5.64,0,0,38.67,116.82,0.81,0,14.5,907.18,1.61,0,16.92,0,0,2.42,0,0,0.81,0,144.21,0,0,25.78,0,53.98
 48-58,0,0,0,0,6.89,0.57,52.22,0.57,1.72,13.2,51.64,0,0,1.72,0,4.59,8.03,1.15,0,24.67,158.37,0,0,13.77,455.6,0.57,1.15,22.95,0,0,1.72,0,0,0,0,64.27,0,1.15,29.26,0,49.35
 60-70,0,0,0,0,16.69,0.98,52.02,0,0.98,20.61,41.22,0.98,0,1.96,0,1.96,14.72,0,0.98,13.74,153.12,0,0.98,1.96,252.25,0,0,18.65,0,3.93,1.96,0,0,0,0,25.52,6.87,1.96,27.48,0,25.52
 72-82,0,0,0,0,24.54,0.98,54.97,1.96,0.98,23.56,69.7,1.96,0,2.94,0,7.85,17.67,0,0,21.6,199.28,0,0.98,7.85,211.06,0,1.96,33.38,0,3.93,0.98,0,0,0,0,10.8,21.6,5.89,69.7,0.98,19.63
 84-94,0,0,0,0,25.49,0,92.4,0,1.06,15.93,40.36,5.31,0,3.19,1.06,13.81,23.36,2.12,0,39.3,106.2,0,1.06,5.31,97.71,0,0,45.67,0,4.25,4.25,0,0,0,0,11.68,41.42,3.19,60.54,0,32.92
 96-106,0,0,0,0,44.81,1.09,97.26,1.09,1.09,21.86,42.62,4.37,0,12.02,0,13.11,19.67,1.09,0,27.32,138.79,5.46,2.19,2.19,107.1,0,1.09,68.85,0,4.37,0,0,0,1.09,0,3.28,24.04,2.19,97.26,1.09,29.51
108-118,0,0,0,0,41.36,0.77,88.85,0.77,0,22.98,39.06,3.83,0,4.6,0.77,7.66,42.89,0,0,34.47,97.28,0,1.53,4.6,110.3,0,0.77,45.96,0,6.89,1.53,0,0,0.77,0,4.6,33.7,0.77,63.57,0.77,27.57
120,1.96,0,0,0,23.52,1.96,41.16,1.96,0,9.8,48.99,5.88,0,3.92,0,9.8,21.56,3.92,0,5.88,70.55,0,1.96,5.88,103.87,0,1.96,56.83,0,3.92,3.92,0,0,0,0,0,9.8,1.96,72.51,0,15.68
