stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,839.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,24.52,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,13.14,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,244.47,18.4,0,0,92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,267.49,3.15,0,0,100.7,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0
 24-34,0,0,0,4.93,4.93,0,0.82,0.82,1.64,0,0,0,0,0,0.82,1.64,11.49,0,0,0.82,98.5,0,0,0.82,0,0,0,0,0,0,0,24.63,0,4.1,0,0
 36-46,0,0,0,0.81,6.45,0,0,0.81,2.42,0,0,0,0,0,0,0,4.83,0,0,1.61,28.2,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,36.15,0,0,0.57,13.2,0.57,0,0,0,0,0,0,12.62,0,0,3.44,76.32,0.57,0,0,0,0,0,0,0,0,0,12.62,0,1.15,0,0
 60-70,0,0,0,0.98,13.74,0,0,0,1.96,0.98,0,0,0,0.98,0,0,5.89,0,0,1.96,11.78,0,0,0,0,0.98,0.98,0,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,0,0,24.54,0.98,0,1.96,6.87,0,0,0,0.98,0,0,0,9.82,0.98,0,0.98,25.52,0,0,0,0,0,1.96,0,0,0,0,2.94,0,0,1.96,0.98
 84-94,0,0,0,1.06,2.12,0,0,0,1.06,0,0,0,0,0,0,0,3.19,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,7.65,1.09,0,0,4.37,0,0,1.09,0,0,1.09,0,7.65,0,0,3.28,17.49,0,0,0,0,0,2.19,0,0,0,0,1.09,2.19,0,0,0
108-118,0,0,0,0,1.53,0,0,0,6.13,0,0,0,0.77,0.77,0,0,1.53,0,0.77,0.77,6.13,0,0.77,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,1.96,11.76,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0
