stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,21,10,10,0,0,0,2,1,0,1,0,0,7,0,0,13,97,2,3,2,2,0,19,0,1,29,35,0,1,0
 24-34,0,0,0.82,5.75,0,12.31,0,0.82,0,1.64,0.82,0,0.82,0,0,15.6,0,0,4.93,123.95,0,0,4.1,0,3.28,0,0,0,9.85,28.73,0,4.1,0
 36-46,0,0,0,0.81,0,7.25,0,0.81,1.61,1.61,0,0.81,0.81,0,0,1.61,0,0,0,26.59,0,0,0.81,0,2.42,0,0.81,0,0,4.03,0,0,0
 48-58,0,0,0,0.57,0,5.16,0,0.57,0,0.57,0,0,0,0,0,1.72,0,0,0,5.16,0,0,0.57,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,1.96,0,1.96,0,0.98,0,4.91,0,0,0,0,1.96,10.8,0,0,0.98,9.82,0.98,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0.98,0,3.93,0,0,0.98,6.87,0.98,0,0,0,0,11.78,0,0,0.98,6.87,0,0,0,0,2.94,0,0,0,0,1.96,0,1.96,0
 84-94,0,1.06,0,2.12,0,5.31,0,0,0,7.43,0,0,1.06,1.06,0,7.43,0,0,1.06,3.19,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,3.28,0,3.28,0,3.28,1.09,0,1.09,8.74,0,1.09,0,0,0,7.65,0,4.37,4.37,12.02,0,2.19,2.19,0,6.56,0,0,0,0,1.09,3.28,1.09,0
108-118,0,0,0,4.6,0,2.3,0,2.3,0,3.06,0,1.53,0.77,2.3,0,10.72,0,0.77,3.83,9.96,0,0,0,0,1.53,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,1.96,0,1.96,0,0,0,5.88,0,1.96,0,0,0,13.72,1.96,0,0,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,0
