stage,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,25.18,3.15,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0.82,0,0,0,0,2.46,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,1.15,0,0.57,1.72,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0.98,0.98,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,2.94,0,0,1.96,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,6.37,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,14.21,1.09,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0.77,0.77,0,1.53,0,14.55,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,7.84,3.92,0,0,0,0,0,0,0,0,0
