stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,1.64,0
 36-46,0,0,0,2.42,0,0,0,0,13.7,0,0,0,0,0,5.64,0
 48-58,0,0,0,9.18,1.15,0,0,0,21.8,0,0,0,0.57,0,5.74,0
 60-70,0,0,0,18.65,0,0,0,0,53.98,0,0,0,0,0,12.76,0
 72-82,0,0.98,0.98,7.85,0,0,0,0,79.51,0,0,0,0,0,4.91,0
 84-94,0,1.06,0,9.56,1.06,0,0,0,28.68,0,1.06,0,0,0,2.12,1.06
 96-106,0,0,0,4.37,0,0,0,0,24.04,0,2.19,0,0,0,0,0
108-118,0,0.77,0,3.83,1.53,0.77,0,0,33.7,0.77,0,0,0,0,1.53,0
120,0,1.96,0,3.92,1.96,0,1.96,3.92,92.11,0,0,0,0,0,1.96,0
