stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,502.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,21.03,0,0,47.32,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,262.87,2.63,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.55,3.15,0,0,97.56,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,2,5,0,0,2,1,0,1,0,0,0,0,0,0,5,0,0,2,82,1,0,1,2,0,0,7,2,10,34,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,5.75,0,0.82,1.64,0.82,0,0,0,0,0.82,1.64,0,0,11.49,0,0,5.75,151.86,0,4.1,1.64,0,0,2.46,0.82,0.82,1.64,29.55,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,16.11,0,0,7.25,0,0,0,0,0,0,0,0,0,9.67,0,0,2.42,165.97,0.81,2.42,0,0,0,0,0,0,0.81,36.26,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,56.81,0.57,1.15,9.75,0,0,0,0.57,0.57,0,0.57,0,0.57,11.48,0,0.57,1.72,183.04,0,0,0,0,0.57,0,0,0,0,25.82,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,44.17,0,0,5.89,0.98,0,0,0,0,0,0.98,0,0,14.72,0.98,0,0,148.21,0.98,1.96,0.98,0,0,0.98,0,0,0,16.69,0,0,1.96,0,0
 72-82,0,0,0.98,0,2.94,0,49.08,0,0.98,9.82,0.98,0,0,0.98,0,0.98,0,0,0,23.56,0,0,0.98,119.76,0,0.98,0.98,0,0,0,0,0,0,3.93,1.96,0.98,1.96,0.98,0
 84-94,0,0,0,0,1.06,0,19.12,0,0,6.37,0,0,0,1.06,1.06,0,0,0,0,14.87,0,0,2.12,53.1,0,0,2.12,0,1.06,2.12,0,0,0,4.25,2.12,0,0,0,0
 96-106,0,0,0,0,1.09,0,13.11,0,1.09,4.37,0,0,0,0,1.09,0,0,0,1.09,8.74,0,2.19,2.19,36.06,0,2.19,4.37,0,1.09,4.37,0,0,0,1.09,0,0,1.09,2.19,0
108-118,0,0,0,0.77,3.83,0,13.02,0,1.53,8.43,0,0,0,0,0.77,0.77,0,0.77,0,9.96,0,0,3.06,50.55,0,0.77,1.53,0,0,3.06,0,0,0,1.53,0,0.77,0,0.77,0
120,0,0,0,0,3.92,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,47.03,0,0,0,0,0,3.92,0,0,0,1.96,1.96,0,1.96,0,1.96
