stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,1,8,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0,6.57,0,0.82,31.19,0,1.64,1.64,0,0,0,33.66,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,0,0,4.03,0,4.03,80.57,0,0,0,0,0,0,28.2,0,0.81
 48-58,0.57,0,0,3.44,0,0,0,1.72,0,0,0,0,0,0,0,0,20.08,0.57,1.72,179.6,0.57,0,2.87,0.57,0,0,27.54,0,0.57
 60-70,0.98,0,0,13.74,0,0,0,13.74,0,0.98,0,0,0,0,0,0,41.22,0,2.94,344.51,0,1.96,0.98,0,0,0,30.43,0.98,0
 72-82,4.91,0,0,22.58,0.98,0.98,0.98,6.87,0,0.98,0,0,0.98,0.98,0.98,0,88.35,0,7.85,374.99,0,1.96,2.94,0,0,0,31.41,0,0.98
 84-94,0,0,0,27.61,0,1.06,0,13.81,0,0,0,1.06,2.12,2.12,0,0,47.79,1.06,5.31,172.05,0,1.06,3.19,0,0,0,14.87,0,0
 96-106,3.28,1.09,1.09,27.32,0,0,0,5.46,0,0,0,0,3.28,5.46,1.09,0,52.46,1.09,2.19,173.76,0,0,7.65,0,1.09,0,7.65,0,0
108-118,2.3,0.77,0,18.38,0,1.53,0.77,11.49,0.77,0,0,0,1.53,0.77,0.77,0,44.43,0.77,3.06,191.49,0,0,3.06,0,0.77,0,5.36,1.53,0
120,3.92,0,0,21.56,0,0,1.96,11.76,0,0,1.96,0,1.96,0,0,0,47.03,0,5.88,223.42,0,1.96,7.84,0,5.88,0,7.84,0,0
