stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord
  3-4,171.31,2082.11,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,36.78,625.22,0,0,0,0,0,0,0,0,0,24.52,0,12.26,12.26,0,0,0,0
  7-9,5.26,2.63,2.63,0,7.89,0,0,13.14,0,0,0,120.92,10.51,55.2,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,34.62,0,22.03,0,0,0,3.15,0
 14-21,0,0,1,1,1,0,1,0,0,1,1,15,0,1,2,0,1,1,3
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0.57,0,0,0,0.57
 72-82,0,0,0,0,4.91,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.25,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,6.56,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
