stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,taste,vascular_smooth_muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,11.49,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,5.64,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,6.87,0,0,0,2.94,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,15.71,0.98,0,0,10.8,0,0,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,50.98,0,1.06,0,18.05,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,80.87,0,1.09,1.09,66.66,0,1.09,0,12.02,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0,105.7,0,0,0,169.28,0,2.3,2.3,12.26,0,0,2.3,0,0,0.77,0
120,0,0,3.92,43.12,0,0,0,141.1,1.96,0,0,7.84,0,0,0,0,0,0,0
