stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,10,3,11,2,0,6,0,0,0,1,2,0,1,0,0,0,0,0,1,19,0,0,4,154,1,9,1,1,0,0,0,11,6,93,0,0,1,0,0
 24-34,0,10.67,0.82,1.64,0.82,0,8.21,0.82,0,0,3.28,0,0,0.82,0,2.46,0,0,0,0,9.03,18.06,0,4.93,261.03,2.46,69.77,0.82,0,0,1.64,0,11.49,0.82,96.86,0,0,3.28,0,0
 36-46,0,3.22,0,1.61,0,0,121.66,0,0.81,0,8.86,0,0,2.42,0,2.42,0,0,0.81,0,9.67,33.03,0,1.61,364.97,1.61,91.85,0,0,0,2.42,0,0,0,99.9,0,0.81,0.81,0,0
 48-58,0,5.16,0,6.89,1.72,0,962.27,0.57,2.3,1.15,25.25,0.57,0,2.3,0,2.3,2.3,0.57,1.15,1.15,37.3,32.13,1.15,4.59,634.63,1.15,67.14,1.15,0,0.57,2.3,0,0,0,118.2,0,0.57,3.44,1.15,1.72
 60-70,0,2.94,0,13.74,0.98,0,2672.68,0.98,1.96,4.91,53.98,2.94,0,0,0,0.98,0,0,0,1.96,90.3,28.46,8.83,6.87,1115.99,0.98,73.61,2.94,0,0,12.76,2.94,0.98,0,164.9,0.98,8.83,2.94,9.82,7.85
 72-82,0,9.82,0.98,52.03,17.67,0,3262.06,4.91,7.85,11.78,157.07,8.83,0,4.91,5.89,5.89,4.91,5.89,1.96,1.96,128.6,69.7,5.89,14.72,1336.04,1.96,135.47,3.93,0,0.98,15.71,0.98,0.98,0,84.42,6.87,17.67,14.72,36.32,18.65
 84-94,0,7.43,0,101.96,12.74,1.06,2148.5,6.37,9.56,9.56,158.24,12.74,0,2.12,5.31,7.43,7.43,2.12,4.25,0,107.27,64.78,11.68,6.37,758.29,1.06,172.05,6.37,0,1.06,16.99,4.25,4.25,0,59.47,20.18,13.81,15.93,33.99,6.37
 96-106,0,17.49,0,95.08,17.49,5.46,1936.52,7.65,16.39,2.19,125.68,31.69,0,9.84,12.02,6.56,3.28,5.46,6.56,0,111.47,86.33,6.56,12.02,686.31,3.28,253.54,4.37,0,1.09,24.04,3.28,2.19,0,30.6,30.6,19.67,15.3,41.53,8.74
108-118,0,12.26,0,34.47,7.66,3.06,1441.54,1.53,3.83,3.83,91.92,20.68,0,1.53,4.6,6.89,0.77,0,3.83,0,89.62,47.49,6.13,8.43,692.43,3.06,172.34,3.83,0,1.53,9.96,0.77,2.3,0,26.81,27.57,8.43,17.62,25.28,0.77
120,1.96,13.72,0,31.36,7.84,1.96,1009.29,3.92,3.92,9.8,84.27,23.52,1.96,1.96,5.88,1.96,3.92,0,3.92,0,54.87,33.32,9.8,7.84,672.21,3.92,145.02,0,0,3.92,7.84,1.96,0,0,29.4,19.6,3.92,1.96,17.64,0
