stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,47,13,45,0,0,0,0,1,1,0,1,18,6,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,2.46,0,0.82,13.13,0.82,0,0,0,0,0,0,0,0,0,398.94,0,0,211.78,26.27,65.67,0.82,0.82,0.82,0,0,0,0,0.82,18.88,9.03,0,0,16.42,0,0
 36-46,0,0,0,5.64,0,0,8.06,0,3.22,53.98,0,0,0,3.22,0.81,0,0,0,0,0,671.93,0,0.81,262.65,25.78,36.26,0,0,0,0.81,0.81,1.61,0.81,5.64,4.03,11.28,0,0.81,10.47,0,0
 48-58,0,0,0,7.46,0,0,23.53,0.57,5.16,83.78,2.3,0,0,2.3,0.57,0,0,0,0,0,1112.61,0.57,1.15,270.84,56.23,30.41,2.3,1.15,0,0,2.87,0,0,2.3,0,15.49,0,0.57,10.9,0,0
 60-70,0,0,0,6.87,0,0,24.54,0,9.82,86.37,3.93,0,0,0.98,2.94,0,2.94,0,1.96,0,1457.56,0.98,2.94,187.47,35.33,13.74,2.94,0.98,0,2.94,7.85,0,1.96,1.96,0,10.8,0,3.93,13.74,0,0.98
 72-82,0,1.96,0,22.58,0,0,102.09,1.96,6.87,138.41,17.67,0,0,0.98,0,0.98,2.94,1.96,0.98,0.98,2311.81,0.98,7.85,251.31,74.61,10.8,4.91,5.89,0,4.91,1.96,0,2.94,0,0,4.91,0,8.83,23.56,10.8,1.96
 84-94,0,1.06,0,25.49,1.06,1.06,156.12,1.06,5.31,113.64,5.31,0,1.06,2.12,5.31,0,5.31,0,1.06,0,1674.83,0,5.31,174.17,31.86,7.43,1.06,1.06,0,3.19,2.12,0,3.19,0,0,3.19,1.06,11.68,20.18,6.37,1.06
 96-106,0,0,1.09,37.16,4.37,2.19,112.56,0,5.46,91.8,24.04,5.46,0,4.37,4.37,0,5.46,2.19,7.65,1.09,1668.78,2.19,19.67,179.23,87.43,3.28,7.65,4.37,0,13.11,7.65,0,14.21,1.09,0,2.19,5.46,18.58,37.16,8.74,1.09
108-118,0,0,0.77,19.92,2.3,0,41.36,0.77,6.89,57.45,6.13,0.77,0,0,2.3,0,4.6,0,2.3,0,1482.9,1.53,6.13,144,84.26,3.83,2.3,2.3,0,9.96,3.06,0,6.89,0,0,0.77,0.77,18.38,9.96,2.3,0
120,0,0,0,17.64,1.96,0,35.28,0,5.88,50.95,1.96,0,0,1.96,0,1.96,1.96,0,3.92,0,1136.68,1.96,15.68,109.75,64.67,5.88,3.92,1.96,0,3.92,0,0,5.88,0,0,0,5.88,5.88,7.84,1.96,0
