stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,73.6,5.26,0,0,36.8,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,28,2,0,0,1,0,1,1,3,1,1,4,7,0,0,0,0
 24-34,0,0,0.82,0,7.39,0,0,4.93,0,0.82,0,1.64,0,0,0,0,0.82,0,0,0.82,4.1,0,0,2.46,25.45,0,0,0,0,0,11.49,0,0,0,0,1.64,7.39,0,0,2.46,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0.81,0,0,0,0,6.45,0.81,0,4.03,13.7,0.81,1.61,0.81,0,0,4.03,0,0,2.42,0,0,6.45,0,0.81,0.81,0
 48-58,0,0,0,0,0.57,0,0,4.59,0,0.57,0.57,1.15,0,0,0.57,0,0,0.57,0,1.15,4.02,0.57,0,1.15,5.74,0,0.57,0.57,0,0.57,5.16,0,0,0,0.57,0,2.3,0,0,1.15,0
 60-70,0,0,0.98,0,2.94,0,0,2.94,0,0,0,1.96,0,0.98,0,0,0,0,0,0,18.65,0,0.98,2.94,3.93,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0,1.96,1.96,0.98
 72-82,0,0,1.96,0,3.93,0,0,1.96,0,0.98,0.98,3.93,1.96,0,0.98,3.93,0,0,0,0,11.78,0,0,0.98,5.89,0.98,0.98,0.98,0,0,4.91,0,0,0.98,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,0,3.19,1.06,0,4.25,0,1.06,0,3.19,3.19,0,1.06,5.31,2.12,1.06,0,0,8.5,0,0,3.19,7.43,0,0,1.06,0,0,21.24,0,0,1.06,0,0,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,3.28,1.09,0,3.28,0,1.09,1.09,3.28,2.19,0,0,6.56,0,0,1.09,1.09,8.74,0,0,0,3.28,0,2.19,1.09,0,0,16.39,0,0,0,0,0,0,0,0,4.37,1.09
108-118,0,0,0,0,6.89,0,0.77,0.77,0,0.77,0.77,0.77,1.53,0,0,2.3,0.77,0,1.53,1.53,6.89,0.77,0.77,0,5.36,0,0,0,0,0.77,3.83,0,0,1.53,0,0,0,1.53,0.77,2.3,1.53
120,0,0,0,0,1.96,0,0,1.96,1.96,1.96,1.96,1.96,1.96,0,0,9.8,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,3.92,0,0,1.96
