stage,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
 14-21,1,0,0,0,0,0,10,0,5,2,1
 24-34,0,1.64,1.64,0,0,0,31.19,0,15.6,0,10.67
 36-46,0,0,0.81,1.61,0,1.61,37.06,0,9.67,0,2.42
 48-58,0,0,3.44,4.59,0,1.15,25.25,0,7.46,0,2.3
 60-70,0,0,0.98,7.85,0.98,0.98,14.72,0,3.93,0,0
 72-82,0,0,3.93,12.76,0,0.98,22.58,0,5.89,0,0
 84-94,0,0,2.12,9.56,0,2.12,10.62,0,4.25,0,3.19
 96-106,0,2.19,3.28,6.56,0,0,6.56,1.09,8.74,1.09,0
108-118,0,1.53,0.77,3.06,0,0.77,9.19,0,8.43,0,0
120,0,0,0,19.6,0,0,13.72,0,5.88,0,0
