stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,16,3,1,0,0,0,0,2,3,20,0,1,0,0,0,0,26,0,0,10,21,0,0,0,1,0,1,1,5,0,202,170,7,0,0,4,0,0
 24-34,0,3.28,4.93,0.82,15.6,77.98,1.64,0,0.82,0.82,0,27.09,0,0.82,0,0.82,0,4.1,38.58,0,0.82,19.7,50.89,12.31,10.67,0.82,0,0.82,6.57,0,0,0.82,132.16,169.1,5.75,0,0,20.52,0,0
 36-46,0,0,1.61,0.81,6.45,85.4,0,0,1.61,1.61,0,26.59,0,0,0,0,0,12.09,24.17,0,2.42,12.09,42.7,3.22,5.64,0,0,0.81,0.81,0,0,0,78.15,9.67,7.25,0,1.61,6.45,0,0
 48-58,0,0,2.3,0.57,14.35,55.66,1.72,0,1.15,0,0,10.9,0,0,0,0,0.57,8.61,17.21,0,0,12.05,75.74,1.15,2.87,1.72,0,0,0.57,0,0,0,45.33,0,10.33,0,2.87,3.44,0,1.15
 60-70,0,0,1.96,0,17.67,44.17,3.93,0.98,0.98,5.89,0,5.89,0.98,0,0,0,0,3.93,28.46,0,4.91,2.94,86.37,0,0,3.93,0,0,1.96,0,0,0,21.59,0,3.93,0,4.91,0,14.72,0
 72-82,0,0,0.98,0,31.41,43.19,1.96,0,2.94,0.98,0,1.96,0.98,0,0,0,0,5.89,34.36,0,5.89,8.83,100.13,0,1.96,3.93,0.98,1.96,0,0,0,0,18.65,0,2.94,0,17.67,1.96,38.28,0
 84-94,0,0,3.19,0,24.43,48.85,3.19,1.06,3.19,4.25,0,5.31,1.06,0,2.12,0,0,4.25,27.61,1.06,6.37,6.37,42.48,0,1.06,5.31,0,0,6.37,0,0,0,26.55,0,4.25,0,19.12,0,41.42,0
 96-106,0,0,5.46,3.28,25.14,54.64,7.65,0,3.28,3.28,0,12.02,1.09,1.09,1.09,0,1.09,2.19,51.36,0,5.46,8.74,45.9,0,4.37,22.95,0,4.37,5.46,0,0,0,30.6,0,1.09,1.09,32.79,4.37,68.85,0
108-118,0,0,2.3,0.77,17.62,44.43,8.43,0.77,1.53,3.83,0,9.96,1.53,0,1.53,0.77,0,6.89,42.89,0.77,2.3,12.26,31.4,0,0,15.32,0,3.06,2.3,0,0,0,22.98,0,0.77,0.77,21.45,1.53,37.53,0
120,0,0,1.96,0,3.92,31.36,1.96,0,3.92,5.88,0,3.92,1.96,0,0,0,0,0,23.52,0,0,11.76,25.48,0,1.96,9.8,0,7.84,0,0,1.96,0,1.96,0,0,0,17.64,5.88,25.48,0
