stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0
 24-34,0.82,0.82,0,0,0,0,0,0.82,0,0,0,3.28,0,0.82,5.75,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.22,2.42,0,7.25,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,1.72,0,1.72,0,0,0,0,4.02,2.87,0,14.35,0,1.15,0,5.16,0,0,0
 60-70,0,0,0,0,15.7,0,0.98,0.98,0,0,0.98,5.89,3.93,0.98,18.65,0.98,0.98,0,1.96,1.96,0,1.96
 72-82,0,0,0,0,32.39,0.98,0.98,1.96,0,0,0,10.8,8.83,0,57.92,0,0.98,0,1.96,1.96,0.98,3.93
 84-94,0,1.06,0,0,12.74,0,3.19,2.12,1.06,0,0,6.37,6.37,0,29.74,0,0,0,0,5.31,0,2.12
 96-106,0,2.19,1.09,1.09,27.32,0,1.09,2.19,1.09,1.09,0,3.28,2.19,0,25.14,0,6.56,0,2.19,7.65,0,3.28
108-118,0.77,1.53,0,0,12.26,0,3.06,5.36,1.53,2.3,0,4.6,0.77,0,32.17,0,0.77,0.77,1.53,4.6,0,3.06
120,0,1.96,0,0,11.76,0,0,5.88,3.92,0,1.96,7.84,0,1.96,47.03,0,1.96,0,3.92,1.96,0,5.88
