stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,81.82,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,9,1,0,0,0,0,1,1,3,10,10,0,1,0,0
 24-34,0,0,0.82,1.64,0,0,4.1,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0.82,4.1,0,4.1,27.91,0.82,0,0,0,0,0.82,0,0,0,33.66,0,0,0,0
 36-46,0,0,0,0.81,0,0,5.64,0,0,0,1.61,0,0,0,0,0,0,0,2.42,5.64,0,2.42,39.48,0,0,0,0,0,1.61,0,0,0,36.26,0,0,0,0
 48-58,0,0,0,1.72,0,0,17.79,0,0,0.57,6.31,0,0,0,0.57,0,0,0,4.59,2.87,0,0,33.85,0,0,1.15,0,0,0.57,0,0,0,20.08,0,0,0,1.15
 60-70,0,0.98,0,1.96,0,0,64.78,0,0,0,18.65,0,0.98,0,0,0,0,0,2.94,12.76,0,1.96,79.5,0,0,0,0,0,2.94,0,0,0,7.85,0,0,0,0
 72-82,0,1.96,0,0.98,1.96,0,92.28,0.98,0.98,0,21.6,0,0,0,0,0,0,0,0.98,24.54,1.96,1.96,131.54,0,1.96,1.96,0,0.98,0,0,0,0,5.89,0,0.98,0,0.98
 84-94,0,1.06,0,4.25,1.06,0,48.85,0,2.12,1.06,19.12,0,0,0,1.06,0,0,0,3.19,12.74,1.06,0,54.16,0,0,1.06,0,0,4.25,0,0,0,6.37,1.06,1.06,0,0
 96-106,0,0,0,2.19,0,0,63.39,0,2.19,1.09,9.84,0,0,0,1.09,0,0,1.09,2.19,10.93,1.09,0,73.22,0,0,1.09,0,0,2.19,0,0,0,7.65,0,2.19,0,0
108-118,0,0.77,0,2.3,0,0.77,56.68,0.77,0.77,0.77,20.68,0,0,0.77,2.3,0.77,0.77,2.3,4.6,9.19,0,1.53,63.57,0,1.53,0.77,0,0,1.53,0,0,0,2.3,1.53,0,0.77,0
120,0,0,0,3.92,1.96,0,43.12,0,0,0,17.64,1.96,0,0,0,0,0,0,1.96,7.84,0,0,50.95,0,0,1.96,0,1.96,1.96,0,0,0,3.92,0,1.96,0,0
