stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1189.15,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,18.39,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,13.14,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,181.38,15.77,0,0,70.98,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,606,1,0,1,0,10,0,0,1,0,0,29,3,0,0,0,0,2,3,0,1,14,4,0,0,0,4,3,3,0,1,1,3,0,0,1,0,0
 24-34,0,0,0,0,1165.62,0.82,0,3.28,0,87.83,0,1.64,0.82,0,0,91.94,0,0,0.82,0,0.82,3.28,18.06,0,2.46,59.92,1.64,2.46,0,0,2.46,0.82,0,1.64,1.64,1.64,11.49,0,0,1.64,0,0.82
 36-46,0,0,0,0,727.52,0,0,11.28,0,136.96,0.81,2.42,0.81,0,0,133.74,0,0,3.22,0,0,7.25,10.47,0.81,0.81,70.9,1.61,4.83,1.61,0,5.64,1.61,0,1.61,0,0,16.92,0,0,0.81,0,0
 48-58,0,0,0,0,643.24,0.57,0,27.54,0,199.68,0,5.16,1.15,0,0,127.38,0,0,0,0,0,12.62,5.74,0,1.72,52.22,0,2.87,0,0,2.87,0.57,0,2.3,0,0,14.92,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,637.99,0,0,41.22,0,190.42,2.94,2.94,0.98,0,0.98,143.3,0.98,0,1.96,0.98,0,17.67,9.82,0,0.98,45.15,0,0.98,0,0,3.93,0.98,0,2.94,0,0,8.83,0,0,1.96,0.98,0
 72-82,0,0,0.98,0,798.09,2.94,0,27.49,0,197.31,0.98,3.93,5.89,0,0.98,234.62,5.89,0,0.98,0.98,0,24.54,11.78,2.94,0.98,41.23,0,3.93,0,0,5.89,0.98,0,1.96,0,0,4.91,0,0.98,5.89,0,0.98
 84-94,0,0,0,1.06,1510.22,1.06,0,16.99,0,375.96,2.12,3.19,10.62,0,0,277.19,4.25,0,1.06,0,0,11.68,20.18,2.12,0,20.18,0,3.19,2.12,0,6.37,0,0,8.5,0,0,4.25,3.19,1.06,9.56,2.12,0
 96-106,0,0,0,1.09,1680.8,13.11,2.19,24.04,0,360.64,2.19,5.46,13.11,0,0,334.41,8.74,2.19,2.19,0,0,26.23,27.32,1.09,0,39.34,0,13.11,0,0,6.56,1.09,0,7.65,0,0,1.09,3.28,0,18.58,4.37,0
108-118,0,0,0,2.3,1548.01,6.89,0,11.49,0.77,423.58,1.53,1.53,22.98,0,0.77,269.62,3.83,0.77,0.77,0.77,0,6.89,11.49,0,0.77,28.34,0,6.89,0.77,0,4.6,0.77,0,9.19,0,0,0.77,5.36,1.53,13.79,3.06,0.77
120,0,0,0,0,864.27,3.92,1.96,9.8,0,241.05,0,1.96,7.84,0,0,335.12,3.92,0,3.92,1.96,0,9.8,11.76,0,3.92,31.36,0,1.96,0,0,1.96,0,0,7.84,0,0,0,0,0,11.76,1.96,0
