stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,2714.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,128.72,1287.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,34.62,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,48,1,0,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,8,0,1,2,0,4,1,5,1,1,3,0,0,1,0
 24-34,0,0,0.82,0.82,53.36,1.64,0,3.28,0,7.39,3.28,1.64,0,0,2.46,1.64,7.39,0,0.82,0,0,0,0.82,0,1.64,42.68,5.75,1.64,0,0,0,17.24,0,0,2.46,5.75,13.13,0,0,4.93,0
 36-46,0,0,0,0,30.62,0,0,3.22,0,4.03,9.67,2.42,1.61,0,0,4.83,2.42,0,1.61,0,0,0.81,0,0,0.81,79.76,5.64,2.42,0.81,0,0,16.11,0,0,0,0,16.92,0,0,3.22,0
 48-58,0,0,0,0,16.07,0,0,8.03,0,4.59,9.75,2.3,0,0,0.57,3.44,2.87,0,0.57,0,0,2.87,0,0,1.15,98.12,0.57,0.57,0,0,0,12.05,0,0,0,0,20.66,0,0,0.57,0
 60-70,0,0,0.98,0,18.65,0,0,33.37,0.98,8.83,4.91,5.89,1.96,0,0,9.82,1.96,0,0,0,0,2.94,0,0,0,285.62,0.98,2.94,0.98,0,0,11.78,0,0,0,0,48.09,0,0,0,0
 72-82,0,0,2.94,0,29.45,0.98,0,34.36,0,8.83,8.83,6.87,0.98,0,0.98,7.85,3.93,0.98,1.96,0,0,10.8,0.98,0.98,0.98,202.22,0,0,0.98,0,0,19.63,0,0,0,0,27.49,0.98,0,1.96,0.98
 84-94,0,0,2.12,0,60.54,0,0,31.86,0,25.49,14.87,3.19,1.06,1.06,0,25.49,14.87,1.06,1.06,2.12,0,10.62,3.19,1.06,1.06,117.89,0,1.06,3.19,0,0,71.16,0,0,0,0,11.68,3.19,0,0,0
 96-106,0,0,3.28,0,51.36,2.19,0,14.21,0,18.58,5.46,8.74,4.37,0,0,19.67,4.37,0,3.28,4.37,1.09,5.46,3.28,0,2.19,68.85,0,1.09,0,0,1.09,49.18,0,0,0,0,6.56,0,1.09,0,1.09
108-118,0,0,2.3,0.77,60.51,0,0,20.68,0,18.38,9.96,11.49,3.06,0,0.77,16.85,6.89,2.3,0.77,7.66,0,9.19,1.53,0,0.77,87.32,0,1.53,0,0,0,26.04,0,0,0,0,2.3,0.77,0,3.06,0
120,0,0,1.96,0,68.59,0,1.96,21.56,0,25.48,1.96,5.88,0,0,0,15.68,15.68,1.96,0,3.92,0,0,0,0,0,99.95,0,1.96,1.96,0,0,54.87,0,0,0,0,0,0,0,5.88,0
