stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,5.75,0,0,0,0,0,0,0.82,50.07,0,1.64,0,0,5.75,0,0
 36-46,0,0,0,2.42,20.95,0,0,0.81,0,0,0,0,0,0,0,4.03,0,0,16.11,0,0,0,0,0,0.81,0,109.57,0,7.25,0,0,0.81,0,0
 48-58,0,0.57,0,15.49,47.05,0,0,4.59,0,0.57,0,0,0,0,0,4.59,0.57,2.3,35.58,0.57,0,0,0,0,1.72,0,126.81,0,10.33,0,0,0.57,0,0
 60-70,0,0.98,0,9.82,36.32,0,0,2.94,0,0.98,0,0,0,0,0,2.94,0,4.91,28.46,0,0.98,0.98,0.98,0,1.96,0.98,77.54,0,0,0,1.96,3.93,0,0
 72-82,0,2.94,0.98,15.71,30.43,0,0.98,5.89,4.91,0,5.89,0.98,0.98,0,0,13.74,2.94,4.91,27.49,0,0,0,0,0,1.96,0.98,45.16,0,0,0,8.83,12.76,0.98,0
 84-94,0,1.06,2.12,11.68,53.1,1.06,5.31,2.12,4.25,0,4.25,3.19,2.12,0,1.06,14.87,2.12,3.19,19.12,0,0,1.06,0,0,2.12,1.06,87.09,0,2.12,0,11.68,4.25,1.06,2.12
 96-106,0,6.56,9.84,33.88,131.14,2.19,6.56,13.11,10.93,1.09,4.37,2.19,0,2.19,4.37,25.14,2.19,14.21,64.48,0,1.09,1.09,1.09,0,6.56,0,106.01,0,4.37,1.09,5.46,8.74,5.46,3.28
108-118,0,2.3,1.53,15.32,90.38,1.53,3.83,6.13,2.3,0,3.83,2.3,0,0,1.53,13.02,0,16.09,40.6,0.77,1.53,1.53,0,0.77,2.3,0,90.38,0,0.77,0,2.3,5.36,0.77,0.77
120,0,0,3.92,7.84,62.71,0,3.92,1.96,5.88,0,3.92,3.92,0,0,0,9.8,0,1.96,23.52,0,1.96,0,0,0,0,0,39.2,0,3.92,0,1.96,3.92,0,0
