stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,neural,olfactory,otic,spinal.cord
 24-34,0,0,0,0,0.82,0,10.67,0,0,6.57
 36-46,0,0,3.22,0,0.81,0,41.89,0.81,0,4.03
 48-58,0,0,6.89,0.57,1.15,0,60.82,0,0,10.9
 60-70,0.98,0,20.61,0,0,1.96,59.87,0,0.98,6.87
 72-82,0,2.94,21.6,0,0.98,0.98,61.84,0.98,0.98,5.89
 84-94,0,0,12.74,1.06,1.06,0,25.49,0,0,1.06
 96-106,0,0,4.37,0,1.09,0,19.67,0,0,1.09
108-118,0,0,11.49,0,0,0,22.98,0,0,0.77
120,0,0,13.72,0,1.96,1.96,29.4,0,1.96,0
