stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,1,3,0,1,0,0,0,0,0,0,2,0,0,0,13,0,0,0,1,0,4,6,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,13.13,0,0,0,0,0,0,5.75,0
 36-46,0.81,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,0,19.34,0,0,0,0,0.81,0,7.25,0
 48-58,0,0,0,0,2.87,0.57,1.72,0,0,0,0.57,5.74,0,0,0.57,29.26,0,0.57,0.57,0,0,0,9.18,1.15
 60-70,0,0,0,0,8.83,0,0.98,0,0.98,0,0,4.91,0,0,0,25.52,0,0.98,0,0,0,0,1.96,0.98
 72-82,0,0,0,0.98,12.76,0.98,4.91,0,0.98,0,0,6.87,0.98,0,0.98,21.6,0,1.96,0,0,0,0,0,2.94
 84-94,0,0,0,0,6.37,0,0,0,0,0,0,4.25,0,1.06,0,13.81,0,0,0,1.06,0,0,0,1.06
 96-106,1.09,0,0,0,12.02,1.09,3.28,0,1.09,0,0,5.46,0,0,1.09,8.74,0,0,0,0,0,0,0,3.28
108-118,0,0,0,0,2.3,0.77,2.3,0.77,0,0.77,0,1.53,0,0,0,9.96,0,0.77,0,0.77,0,0,0,0
120,0,0,1.96,0,9.8,0,0,0,0,0,0,3.92,0,0,0,15.68,0,0,0,1.96,0,0,0,0
