stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1989.87,30968.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.46,0,0,0,0,0,0,0,0
  5-6,1661.13,15581.53,0,24.52,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,220.67,24.52,0,0,79.69,0,484.24,0,0,0,0,0,0,0,0
  7-9,52.57,10.51,0,18.4,0,0,18.4,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,378.53,28.92,0,0,189.27,0,0,15.77,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,9.44,0,3.15,12.59,0,0,0,0,40.91,0,0,0,0,3.15,0,0,0,0,100.7,40.91,0,0,56.65,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,8,5,0,0,0,3,1,1,5,0,0,0,35,9,0,0,4,19,5,0,0,0,0,0,1,2,2,7,0,1,0,0
 24-34,0,0,0.82,0.82,0.82,0,4.1,0,0,1.64,0,0,29.55,0.82,0,0,54.18,5.75,0,0,2.46,36.12,0.82,0,0,0,0,0,0,0,1.64,11.49,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,5.64,0.81,0,1.61,0,0,63.65,0,0,0,21.75,4.03,0,0,2.42,29,0,0,0,0,0,0.81,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,9.75,0,0,1.72,0,0,53.36,0,1.15,0,10.33,6.89,0,0,0,11.48,0,0.57,0,0,0,0.57,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,0,0.98,0,15.7,0,0,0.98,0,0,91.28,0,0.98,0,5.89,12.76,0,0,0.98,21.59,0,0.98,0,0,0.98,0,0,0,0,4.91,0,0,0,1.96
 72-82,0,0,0,0,0.98,0,13.74,0,0,0.98,0.98,0,133.51,0,0,0,1.96,27.49,0.98,0,0,14.72,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,6.37,0,0,0,0,0,118.95,0,3.19,0,0,23.36,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,7.65,0,0,0,0,0,142.07,0,2.19,0,2.19,19.67,0,0,1.09,5.46,0,0,1.09,0,1.09,0,0,0,0,1.09,1.09,2.19,0,0
108-118,0,0,0,0,0,0,5.36,0,0.77,0.77,1.53,0,108.77,0,2.3,0.77,0,17.62,0,0,0,2.3,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.88,0,0,0,0,0,148.94,0,1.96,0,0,9.8,0,0,1.96,9.8,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
