stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle
 14-21,0,3,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,3,0,0,0
 24-34,0,18.88,0,0,0.82,0,0,0.82,0,1.64,0,0,0,0,0,0.82,1.64,13.13,0,0.82,0
 36-46,0,12.09,0,0,2.42,0,0,0,0,0.81,0,0,2.42,0.81,0,0,0.81,10.47,0,0,0
 48-58,0,3.44,1.72,0,1.15,0,0.57,0,0,0,0.57,0.57,0.57,0,2.3,0,0,1.15,0,0,0
 60-70,0,10.8,0,0,2.94,0.98,0,0,0,0,0.98,2.94,0,0,2.94,0,0,6.87,0,0,1.96
 72-82,0.98,5.89,0,0,1.96,1.96,0,0.98,0,0,0.98,5.89,0.98,0,0,0,0.98,1.96,0.98,0,0
 84-94,0,23.36,0,0,5.31,3.19,0,0,0,1.06,0,0,1.06,0,1.06,0,0,9.56,0,0,0
 96-106,1.09,9.84,0,0,4.37,4.37,0,0,0,1.09,1.09,0,0,0,0,1.09,1.09,5.46,0,0,0
108-118,0,13.79,0.77,0,1.53,3.06,0,0,0.77,0,1.53,4.6,0.77,0,3.06,0,1.53,12.26,0,0,0
120,0,31.36,3.92,1.96,1.96,3.92,0,0,0,1.96,5.88,1.96,0,0,3.92,0,0,13.72,0,0,0
