stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,26.29,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,6,3,4,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,45,0,0,1,1,0,1,5,0,3,15,0,0,0
 24-34,0,0,0,0,6.57,0,4.93,0,0,0,0.82,0,0,1.64,0,0,0,0,0,6.57,0,1.64,83.73,0.82,2.46,1.64,0,0,2.46,0,0,0,18.06,0,0,3.28
 36-46,0,0,0,0,1.61,0,10.47,0,0,0,3.22,0,0,0,0,0,0.81,0,0,4.03,0,1.61,56.4,0,0,0,0,0,0,0,0,0,9.67,0,0,3.22
 48-58,0,0,0,0,0,0,12.62,0,0,0.57,4.02,0,0,1.15,0.57,0.57,0,0,0,10.33,0,0.57,51.07,0.57,0,1.15,0,0,0,0,0,0,12.05,0,0,2.3
 60-70,0,0,0,0,0,0,4.91,0,0,0.98,23.56,0,0,1.96,0,0,0,0,0,6.87,0,1.96,64.78,0,0.98,1.96,0,0.98,0,0,0,0,9.82,0,0,2.94
 72-82,0,0,0,0,0.98,0.98,11.78,0,0,0,43.19,0,0,0.98,0.98,0,0,0.98,0,11.78,0,0.98,107.98,0,0,0,0,0,0,0,0,0,13.74,0,0.98,5.89
 84-94,0,0,0,0,2.12,0,4.25,0,0,1.06,19.12,0,0,0,1.06,1.06,0,1.06,0,10.62,0,1.06,49.92,0,0,2.12,0,0,0,0,0,0,8.5,1.06,0,2.12
 96-106,0,0,0,0,4.37,4.37,5.46,1.09,1.09,1.09,14.21,1.09,0,1.09,0,0,1.09,0,1.09,10.93,1.09,1.09,40.44,0,0,1.09,0,0,1.09,0,0,0,1.09,1.09,2.19,10.93
108-118,0,0,0,0,0.77,0,6.89,0,0,0,21.45,1.53,0,0.77,0.77,0.77,0,0,0,1.53,0,0.77,43.66,0,0,1.53,0,0,0.77,0,0,0,1.53,0.77,0,3.83
120,0,0,1.96,0,1.96,0,5.88,0,1.96,0,29.4,0,0,0,1.96,0,0,0,0,1.96,0,0,47.03,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96
