stage,blastomeres,epidermis,eye,glial,iridophores,neural,notochord,olfactory,otic,pronephros,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.14,5.26,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0.82
 36-46,0,0.81,0,0.81,0,2.42,0,0,0,0,0,1.61
 48-58,0,0,2.3,1.15,0,4.02,0,0,0,0,0,0
 60-70,0,0,0.98,1.96,0,4.91,0,0,0,0,0,0
 72-82,0,0.98,1.96,2.94,0,0.98,0,0.98,0.98,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,2.19,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0,3.06,0,0,0,0,0,0
120,0,0,0,1.96,0,7.84,0,0,0,0,0,0
