stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,12,2,1,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,26,0,2,0,0,13,1,6,10,0,0,0,0,0
 24-34,0,4.93,0,4.1,0,0,0.82,1.64,0,0,0,0,0,0.82,0,0.82,8.21,0,3.28,64.85,1.64,0,0,0,0,0,3.28,18.06,0,0,0,0,0
 36-46,0,2.42,0,9.67,0,0,0,2.42,0,0.81,0,0,0,0,0,0.81,7.25,0,0.81,53.17,0,0.81,0,1.61,0,0,0,15.31,0,0,0,0.81,0
 48-58,0,0.57,0,14.35,0,0,1.15,5.74,0,0,0,0,0.57,0.57,0,0.57,8.03,0.57,0.57,45.9,1.15,0,0,0,0,0,0,9.18,0,0,0.57,0,0
 60-70,0,0,0,23.56,0.98,0,0,5.89,0,0,0.98,0.98,0,0,0,0.98,9.82,0,0,35.33,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98
 72-82,0,1.96,0,15.71,0,0,0.98,5.89,0,0,3.93,0.98,0,0,0.98,0,13.74,0,0,39.27,2.94,1.96,0,0.98,0,0,0,1.96,0,0.98,0,0,0.98
 84-94,0,1.06,1.06,8.5,0,0,0,1.06,0,0,4.25,1.06,0,0,0,1.06,9.56,0,2.12,15.93,1.06,0,0,1.06,0,0,0,2.12,2.12,0,1.06,1.06,0
 96-106,0,3.28,0,10.93,0,0,1.09,2.19,0,1.09,10.93,1.09,1.09,1.09,0,0,12.02,0,2.19,8.74,0,1.09,1.09,2.19,0,0,0,2.19,1.09,0,0,0,0
108-118,0,0.77,0.77,4.6,0,1.53,0.77,2.3,2.3,0,13.02,0.77,3.83,0,0.77,0,8.43,0.77,0,21.45,0,0.77,0.77,0.77,0,0,0,0.77,0,0.77,0,0,0.77
120,1.96,0,1.96,3.92,0,0,0,7.84,0,0,15.68,0,0,1.96,0,0,3.92,0,1.96,15.68,0,0,0,0,0,0,0,1.96,0,0,0,0,0
