stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,mesenchyme,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,9,1,0,1,0,3,0
 24-34,0,0.82,0,0.82,0.82,0,0.82,15.6,0,0,0.82,0,4.1,0
 36-46,0,0,0,2.42,0,0,0,6.45,0,0,0,0,2.42,0
 48-58,0,0,0,1.15,0.57,0,1.15,5.74,0,0,0,0,2.3,0
 60-70,0,0,0,2.94,1.96,0,0.98,5.89,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,1.53,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0
