stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,7.89,0,0,31.54,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,12,5,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,6,1,0,0,0,0,3,0,5,2,8,4,0,0,5,0,0
 24-34,0,0,0,0.82,3.28,3.28,0,2.46,0,0,0,0,1.64,0,0.82,57.46,0,0,0,0,4.1,0,0,3.28,20.52,0,1.64,0,0,0,25.45,0,0,4.1,0,4.93,0,0,11.49,0,0
 36-46,0,0,0,0,2.42,0,0,8.86,0,0,0.81,1.61,0,0,0,71.7,0.81,0.81,2.42,0.81,18.53,0,0,1.61,52.37,0.81,4.03,4.83,0,0,80.57,0,0,1.61,0,15.31,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,0,5.74,0.57,1.72,0,1.72,0.57,0.57,0.57,75.74,0,0.57,1.72,0,6.31,0,0,1.15,12.05,1.15,1.72,0.57,0,0,65.99,0,0,1.72,0,5.16,0,0,3.44,0,0
 60-70,0,0,0,0,6.87,0,0,3.93,0,0.98,0,0.98,0.98,0,0.98,86.37,1.96,0,5.89,0,15.7,0.98,0.98,0,7.85,0,0.98,0.98,0,0,164.9,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,5.89,0,6.87,0.98,0,20.61,0,0,0.98,18.65,1.96,0,0.98,108.96,0.98,0,11.78,0,51.05,1.96,1.96,6.87,61.84,0,4.91,0,0,0,233.64,0,0,0.98,0,6.87,0,1.96,11.78,1.96,1.96
 84-94,0,0,4.25,0,8.5,2.12,0,13.81,0,2.12,3.19,2.12,0,0,0,147.62,6.37,0,3.19,0,20.18,0,2.12,2.12,9.56,0,6.37,1.06,0,0,691.39,0,0,3.19,0,2.12,0,1.06,13.81,0,0
 96-106,0,0,4.37,0,43.71,4.37,0,13.11,0,10.93,0,4.37,1.09,0,2.19,190.16,6.56,2.19,2.19,3.28,55.74,10.93,3.28,6.56,28.41,1.09,4.37,1.09,0,0,739.86,0,0,1.09,0,3.28,1.09,2.19,15.3,5.46,2.19
108-118,0,0,1.53,0,30.64,0.77,0.77,8.43,0,16.09,1.53,3.83,2.3,0,0.77,123.32,11.49,0,2.3,0,29.11,12.26,0,1.53,24.51,0,6.13,3.83,0,1.53,618.13,0,0,3.06,0,0.77,0,0.77,9.96,2.3,0.77
120,0,0,3.92,0,19.6,0,0,7.84,1.96,11.76,0,0,0,0,1.96,162.66,5.88,0,3.92,0,21.56,9.8,0,1.96,21.56,3.92,3.92,3.92,0,0,390,0,0,0,0,0,0,0,11.76,5.88,0
