stage,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,1,1,2,1,2,0,9,0,0,1,1,0,0
 24-34,0,0,0,0,0,0.82,4.1,0,0.82,0,0,0.82,0
 36-46,0,0.81,0.81,0,0,0,4.83,0,0,0,0,0,0.81
 48-58,0,0,2.3,0,0.57,0,1.72,0,0,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,1.96,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,2.3,0,0,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0
