stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,6,1,0,0,3,1,0,5,0,20,3,1,0,0,0,6,19,9,0,0
 24-34,0,8.21,0,0,0.82,2.46,0,0.82,29.55,0,26.27,10.67,0,1.64,0,0,0,4.93,4.1,0,0
 36-46,0,3.22,0,0,3.22,0,0,0,41.89,0,16.92,4.83,0,0,0,0,0,0,5.64,0,0
 48-58,0,0.57,0.57,0,0.57,0,0,0,42.46,0,9.18,3.44,0,0.57,0,0.57,0,0,1.72,0,0.57
 60-70,0,1.96,1.96,0,2.94,0,0,0,65.76,0.98,10.8,5.89,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0.98,0.98,0.98,0,0,66.75,0.98,2.94,4.91,0,0.98,0,0.98,0,0,0,0.98,0.98
 84-94,0,3.19,3.19,2.12,0,3.19,0,0,46.73,3.19,6.37,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,3.28,2.19,1.09,2.19,0,0,0,22.95,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,3.83,0.77,0.77,0,0.77,0,0,25.28,0.77,2.3,0.77,0,0.77,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,21.56,0,0,1.96,0,0,0,0,0,0,0,0,0
