stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,104,1,0,0,1,0,0,0,2,0,8,1,57,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,13.13,0,0,0,4.1,0,3.28,0,0.82,0,0,0.82,0,6.57,0,1.64,638.63,4.93,0.82,2.46,0,0,1.64,0,0,0.82,0.82,0.82,159.25,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,16.11,0.81,0.81,0,4.03,0,2.42,0,0,0,0,0,0.81,12.09,0,1.61,1608.12,3.22,0.81,0.81,0,0,1.61,0,0,0,0.81,0,345.63,0,0,2.42,0,0
 48-58,0,0,0,5.74,0.57,0,72.3,0.57,2.3,1.15,13.77,1.15,1.15,0,0,0,0.57,0,0.57,48.77,1.15,5.16,1301.96,8.03,0.57,0.57,0,0,1.15,0,0,0,0,0,323.63,0,0,1.15,1.15,0.57
 60-70,0,0,0,0.98,0,0,86.37,1.96,0.98,0.98,17.67,0.98,2.94,0,0,0.98,0,0,0,131.52,3.93,1.96,526.1,2.94,0,0.98,0,0,0,0,0,0,0.98,0,113.86,0,1.96,0,1.96,0.98
 72-82,0,0,0,3.93,1.96,0,89.33,9.82,0.98,1.96,12.76,0,4.91,0,0,0.98,0.98,0,0,274.87,10.8,6.87,303.33,17.67,0,2.94,0,0,0,0,0,0,0,0,26.5,0,4.91,0.98,16.69,1.96
 84-94,1.06,0,0,5.31,0,0,76.47,22.3,1.06,3.19,14.87,0,4.25,0,1.06,1.06,0,0,1.06,154,5.31,6.37,178.42,19.12,0,1.06,0,1.06,2.12,0,0,0,0,0,15.93,1.06,1.06,1.06,8.5,1.06
 96-106,0,0,0,9.84,2.19,1.09,49.18,40.44,0,4.37,5.46,0,4.37,1.09,0,1.09,1.09,1.09,0,156.28,3.28,10.93,131.14,33.88,3.28,1.09,0,2.19,3.28,0,0,1.09,0,0,4.37,0,3.28,0,15.3,0
108-118,0,0,0,9.19,0.77,0,49.02,26.81,0.77,1.53,10.72,0.77,3.83,0,0,3.06,0,1.53,0,98.81,8.43,9.96,151.66,37.53,0.77,0,0,1.53,1.53,0,0,0.77,0,0,3.06,0.77,3.83,0,9.96,0
120,0,0,0,7.84,0,0,62.71,33.32,3.92,1.96,9.8,1.96,1.96,0,0,0,0,1.96,0,101.91,5.88,3.92,109.75,47.03,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,11.76,0
