stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0
 24-34,0,0,1.64,0,0,0.82,0.82,0,0,0,0,0,36.12,0,0.82,0,0.82,13.13,0,0,0
 36-46,1.61,0,2.42,0,0,6.45,0,0,0,0,0.81,1.61,99.9,0,0,0,0,26.59,0,0,0
 48-58,1.15,0,15.49,0,0.57,25.25,0,0,0,0,2.87,0.57,166.4,0,0,0,0,41.89,0,0,0
 60-70,0,0,38.28,0.98,0,43.19,0,0.98,0,0,6.87,0,267.96,0,0,1.96,0,52.02,0,0,0
 72-82,5.89,0,39.27,0,0.98,68.72,0,0,0,0,2.94,0,202.22,0,0,0,0.98,35.34,0,0,0
 84-94,3.19,0,29.74,0,0,24.43,0,0,0,0,3.19,1.06,77.53,0,0,1.06,0,13.81,0,0,0
 96-106,0,0,9.84,0,0,30.6,0,0,0,0,3.28,0,72.13,1.09,0,0,0,7.65,0,1.09,0
108-118,2.3,0.77,16.85,0,0,24.51,0,0,0.77,0,0.77,0,55.92,0,0,0,0,3.06,0.77,0,0.77
120,1.96,0,43.12,0,0,56.83,0,0,0,1.96,13.72,0,162.66,7.84,1.96,0,0,3.92,1.96,0,0
