stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,1,0,0,1,0,1,6,6,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0.82,0,0.82,0,0,0,0,11.49,0,0,3.28,13.13,0.82,0,0.82,0,0,0,0,0.82,0,0.82,8.21,0,8.21,0,0
 36-46,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0.81,0,0,11.28,0,0,2.42,11.28,2.42,0,0,0,0,0,0,0,0,0,2.42,0,4.03,0,0
 48-58,0,0.57,0,0.57,0,0,0.57,2.87,0,0,0,1.15,0,2.3,13.2,0,0,4.02,7.46,1.72,0,0.57,0,0.57,0,0,0,0,0,1.15,0,1.15,0,1.72
 60-70,0,0,0,0.98,0,0.98,0.98,3.93,0,0,0,2.94,0.98,0.98,27.48,0,0,2.94,3.93,0,0,0.98,0,0,0,0,0,0,0,3.93,0.98,3.93,0,2.94
 72-82,0,0,0,0,0.98,0.98,0,2.94,0,0,0,1.96,0,0,37.3,0,0.98,0.98,4.91,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,5.89,0,3.93
 84-94,0,0,0,4.25,0,0,0,2.12,2.12,0,1.06,8.5,0,1.06,20.18,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,1.06,3.19,0,1.06
 96-106,0,1.09,0,5.46,1.09,0,2.19,4.37,0,0,0,7.65,0,0,17.49,1.09,0,0,2.19,3.28,0,1.09,0,0,2.19,0,0,1.09,0,0,2.19,2.19,2.19,1.09
108-118,0,0.77,0,1.53,0,0.77,0.77,1.53,1.53,0,0,16.85,0,2.3,13.02,0.77,0,0,3.06,0.77,0,1.53,0,0,0,0,0,0,0,0.77,0,4.6,0,5.36
120,0,0,1.96,0,0,1.96,0,0,0,1.96,0,7.84,0,0,13.72,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,3.92
