stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,ionocyte,mesenchyme,mucous,neural,notochord,periderm,spinal.cord
 14-21,0,0,0,0,0,0,1,0,0,2,0,5,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,15.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,4.83,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,2.87,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0
 72-82,3.93,0,0,1.96,0,0.98,0,0,0,2.94,0,2.94,0
 84-94,7.43,0,0,0,0,0,0,0,0,0,0,8.5,0
 96-106,7.65,0,0,0,0,0,0,1.09,0,1.09,0,13.11,0
108-118,6.89,0,0.77,0,0.77,0,0.77,0.77,0.77,0.77,0,12.26,0
120,1.96,1.96,0,1.96,1.96,0,0,1.96,0,0,0,19.6,0
