stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,18.88,3.15,9.44,0,0,0,0,0,0
 14-21,0,0,0,275,1,0,0,0,2,0,0,0,0,0,14,0,0,4,0,0,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,275.81,1.64,0,0,0,29.55,0,1.64,0,0,0.82,28.73,0,0,0,0,0,4.1,0,0,12.31,0,0.82,0,0,0,0,0,0.82,1.64,0,0,1.64
 36-46,0,0,0,106.35,0,0,3.22,0,19.34,0,0,0.81,0,0,34.64,0,0,0,0,2.42,0.81,0,0,9.67,0,0.81,0,0,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,86.07,0,0,2.87,0,39.02,0.57,0,1.72,0,0,33.28,0,0,0.57,0.57,0.57,1.15,0,0,8.03,0,1.15,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,106,0.98,0,2.94,0,36.32,0,0.98,0.98,0,0,47.11,0,0,0,0,3.93,0,0,0,4.91,0,0.98,0,0,0,0,0,0,1.96,0,0,1.96
 72-82,0,0,0,96.2,0,0,2.94,0.98,21.6,0,3.93,2.94,0,0,73.62,0.98,0,0,0,0.98,0,0,0.98,4.91,0,0,0.98,0,2.94,0,0,0,0,0,0,2.94
 84-94,0,0,1.06,253.83,1.06,0,0,0,77.53,0,0,7.43,0,0,116.82,2.12,0,1.06,0,0,2.12,1.06,0,3.19,0,0,0,0,1.06,2.12,0,0,1.06,2.12,0,5.31
 96-106,0,0,0,206.55,0,0,0,0,50.27,0,0,5.46,0,0,153,1.09,0,1.09,1.09,2.19,0,0,0,8.74,0,4.37,0,0,2.19,0,0,0,0,1.09,0,8.74
108-118,0,0,0.77,258.13,1.53,0.77,3.06,0,81.19,0.77,3.06,6.13,0,0,100.34,1.53,0,0.77,0.77,6.13,3.83,0,0.77,6.13,0,4.6,0.77,0,0.77,0,0,0,0,2.3,0,3.83
120,0,0,0,221.46,3.92,0,0,0,66.63,1.96,0,9.8,0,0,180.3,0,1.96,0,0,3.92,3.92,0,1.96,5.88,1.96,1.96,0,0,3.92,0,0,0,0,0,1.96,7.84
