stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,0,0,0,8,8,0,1,0,0,0,3,0,1,7,0,0,0,0,0
 24-34,0,0,7.39,0,0,1.64,0,0,0,0,0,5.75,0,0,0,0,0,2.46,0,0,0.82,111.64,0,0.82,9.03,0,0,0.82,0,0,0,23.8,0,0,0,0,1.64
 36-46,0,0,2.42,0,0,7.25,0,0,0,0,0,6.45,0,0,0,0.81,0,1.61,0,0,1.61,280.37,0,1.61,4.03,0,0,0.81,0,0,0,53.98,0,0,0,0,0
 48-58,0,0,2.87,0,0,32.13,0,0.57,0,5.74,0,3.44,0.57,0,0,0,0,2.87,0.57,0,2.3,446.99,0,2.87,4.59,0,0,1.15,1.15,0.57,0,69.43,0,0,0,0,0
 60-70,0,0,1.96,0,0,111.89,0,0,0,5.89,0,1.96,0,0,0.98,0.98,0,8.83,0,0.98,0,940.3,0,3.93,4.91,0,0.98,0,0,0,0,125.63,0,0.98,0,0,0
 72-82,0,0,3.93,0,0,345.54,0,0,1.96,19.63,0.98,0.98,0.98,0,0,0.98,0,10.8,0.98,0,0.98,856.99,0,9.82,11.78,0,0,0,0,0,0,79.51,0.98,0,0,0,0.98
 84-94,0,0,8.5,1.06,0,297.37,2.12,1.06,1.06,22.3,0,0,1.06,1.06,0,3.19,0,9.56,0,2.12,1.06,395.08,0,2.12,13.81,0,0,2.12,0,0,0,49.92,1.06,0,1.06,0,0
 96-106,0,0,6.56,1.09,0,319.11,0,0,0,24.04,2.19,1.09,1.09,0,1.09,9.84,1.09,10.93,0,0,0,391.24,0,5.46,19.67,0,0,2.19,0,1.09,0,25.14,0,1.09,1.09,1.09,2.19
108-118,0,0,6.89,0.77,1.53,263.49,0,0.77,0.77,21.45,0,1.53,0.77,0,0,3.83,0,5.36,0,0.77,0,412.09,1.53,4.6,15.32,0,0,5.36,0,0,0,16.85,0.77,0,0.77,1.53,0
120,0,1.96,9.8,3.92,0,342.96,3.92,1.96,0,52.91,3.92,1.96,3.92,0,0,7.84,0,15.68,0,0,0,609.49,0,13.72,15.68,0,0,0,1.96,1.96,0,27.44,0,1.96,1.96,0,0
