stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,7,96,0,0,0,0,1,3,1,0,0,39,0,0,0,0,0
 24-34,0.82,0,0,9.85,0,0,15.6,0,0,1.64,3.28,0,0,0.82,0,0.82,0,0,2.46,0,77.98,0,0,25.45,159.25,296.33,0,8.21,0,0,9.85,0,3.28,0,2.46,98.5,0,0,3.28,0,0
 36-46,0.81,0,0,2.42,0,0,30.62,1.61,0,0.81,4.03,0,0,4.03,0,0.81,0.81,0.81,1.61,0,124.88,0,0,14.5,145.83,294.87,2.42,18.53,0,0,9.67,0,0.81,0,0,48.34,0,0,6.45,0,3.22
 48-58,1.15,0,0,5.16,2.3,0,67.14,0,1.15,0.57,14.92,0.57,0,1.72,1.15,0.57,1.72,1.72,1.72,1.15,383.3,0.57,1.15,16.07,179.03,241.57,1.72,58.53,0,0,7.46,0,0,0.57,0,44.18,0,0,3.44,0,5.16
 60-70,2.94,0,0.98,11.78,2.94,0,100.12,0.98,1.96,3.93,19.63,0.98,0,0.98,3.93,0,1.96,0.98,0.98,0.98,937.35,0.98,0,8.83,164.9,169.8,0.98,62.82,0,0,5.89,0,0,0.98,0,31.41,0,0,6.87,0,5.89
 72-82,0,0,0,17.67,10.8,0,160.99,1.96,1.96,3.93,43.19,1.96,0.98,0,2.94,2.94,3.93,1.96,0.98,1.96,1387.09,0.98,4.91,10.8,219.89,114.85,2.94,119.76,0,0.98,11.78,0,2.94,1.96,0,16.69,0.98,2.94,11.78,0,4.91
 84-94,1.06,0,0,30.8,5.31,0,140.19,3.19,4.25,5.31,35.05,5.31,2.12,1.06,3.19,2.12,1.06,1.06,1.06,2.12,1223.47,0,4.25,5.31,80.71,175.24,1.06,111.51,0,0,16.99,0,1.06,1.06,0,13.81,1.06,3.19,6.37,3.19,4.25
 96-106,2.19,0,0,51.36,12.02,1.09,93.98,3.28,5.46,1.09,32.79,6.56,0,0,14.21,5.46,1.09,5.46,5.46,0,872.09,1.09,3.28,6.56,93.98,135.51,2.19,160.65,0,1.09,18.58,0,0,2.19,0,2.19,1.09,1.09,7.65,6.56,2.19
108-118,3.83,0,0.77,26.81,5.36,2.3,61.28,0,8.43,3.83,17.62,4.6,0,0,4.6,3.83,1.53,3.83,3.83,0.77,707.75,0.77,2.3,6.13,103.41,163.15,3.83,150.13,0,0,7.66,0,0.77,0.77,0,3.06,2.3,0,4.6,3.06,0.77
120,5.88,0,0,47.03,5.88,1.96,29.4,0,7.84,3.92,27.44,7.84,1.96,0,9.8,0,0,1.96,3.92,0,787.83,0,0,5.88,101.91,288.09,0,119.55,0,0,13.72,0,0,0,0,0,0,5.88,3.92,1.96,0
