stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,0,0,0,0,2,0,0,1,74,0,0,0,0,0
 24-34,0,2.46,0,1.64,0.82,0,4.1,0,0,0,3.28,0,0,0,0,0.82,0,0,0,0.82,4.1,0,0,1.64,783.92,0,22.98,0,0,0,1.64,0.82,0,0,0.82,232.3,0,0,1.64,0,0
 36-46,0,0,0,3.22,0,0,71.7,0.81,0,0,3.22,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0.81,2100.38,0,24.98,0.81,0,0,0.81,0,0,0,0,427.81,0,0,0,0,0
 48-58,0,0.57,0,8.03,0.57,0,362.07,0.57,0.57,1.72,26.97,0,0,0.57,0,0,0.57,0,0.57,1.15,20.08,0.57,0.57,5.74,3197.81,0,14.35,1.15,0,0,4.59,0,0,0,0,553.15,0,0,4.02,0,4.59
 60-70,0,0,0,2.94,0.98,0,943.24,0.98,2.94,1.96,47.11,0,0.98,0.98,1.96,0,0.98,0.98,0,0,27.48,0,0,3.93,4668.12,0,17.67,2.94,0,0,3.93,0,0,0,0,628.17,0,0,0,0.98,0.98
 72-82,0,0.98,0,25.52,2.94,0,1236.89,0.98,1.96,4.91,84.42,2.94,0,0.98,2.94,0,1.96,0,0,0.98,55.95,2.94,0,3.93,4074.88,0,31.41,3.93,0,0,1.96,0,0,2.94,0,348.49,0,0,5.89,2.94,6.87
 84-94,0,1.06,0,45.67,6.37,0,867.68,0,1.06,2.12,79.65,1.06,0,1.06,4.25,2.12,5.31,0,1.06,0,48.85,0,4.25,7.43,2203.73,0,26.55,2.12,0,0,5.31,0,0,0,0,229.4,0,1.06,3.19,3.19,0
 96-106,0,0,0,32.79,6.56,0,632.76,0,0,1.09,76.5,6.56,0,0,1.09,1.09,0,0,4.37,0,24.04,0,1.09,4.37,1783.53,0,44.81,3.28,0,0,6.56,0,0,0,0,91.8,1.09,1.09,3.28,0,2.19
108-118,0,0.77,0,24.51,0,1.53,490.98,0.77,0,3.06,61.28,3.06,0,0.77,5.36,0,0,0,1.53,0,25.28,0,0.77,2.3,1829.89,0.77,21.45,0.77,0,1.53,3.06,0,0.77,0,0,62.04,2.3,0,3.83,3.06,0.77
120,0,0,0,23.52,3.92,3.92,472.31,0,0,3.92,78.39,1.96,0,0,5.88,0,1.96,0,0,0,35.28,1.96,0,5.88,2012.7,1.96,17.64,0,0,0,7.84,0,0,0,0,64.67,0,0,1.96,0,1.96
